date,time,windDir,windSpeed,temp,dewPoint,pressure
2011-01-01,00:00,80,2,2,2,1019
2011-01-01,00:30,80,3,2,2,1019
2011-01-01,01:00,80,2,2,2,1019
2011-01-01,01:30,0,2,3,3,1019
2011-01-01,02:00,60,2,3,3,1019
2011-01-01,02:30,70,2,3,3,1019
2011-01-01,03:00,70,3,3,3,1019
2011-01-01,03:30,90,3,3,3,1019
2011-01-01,04:00,80,3,3,3,1019
2011-01-01,04:30,0,0,3,3,1019
2011-01-01,05:00,0,1,3,3,1020
2011-01-01,05:30,0,0,3,3,1020
2011-01-01,06:00,0,0,3,3,1020
2011-01-01,06:30,0,0,3,3,1020
2011-01-01,07:00,0,0,4,3,1020
2011-01-01,07:30,0,0,4,3,1020
2011-01-01,08:00,0,0,4,4,1020
2011-01-01,08:30,260,1,4,4,1021
2011-01-01,09:00,280,2,4,4,1021
2011-01-01,09:30,280,1,5,5,1021
2011-01-01,10:00,0,1,5,5,1021
2011-01-01,10:30,0,0,5,5,1021
2011-01-01,11:00,0,0,5,5,1021
2011-01-01,11:30,0,0,5,5,1021
2011-01-01,12:00,0,1,5,5,1021
2011-01-01,12:30,0,0,5,5,1021
2011-01-01,13:00,0,0,5,5,1020
2011-01-01,13:30,0,0,6,5,1020
2011-01-01,14:00,0,0,6,5,1020
2011-01-01,14:30,0,1,6,5,1020
2011-01-01,15:00,0,0,6,5,1020
2011-01-01,15:30,0,0,6,6,1020
2011-01-01,16:00,0,0,6,5,1020
2011-01-01,16:30,330,2,6,6,1020
2011-01-01,17:00,290,1,6,6,1020
2011-01-01,17:30,280,1,6,6,1020
2011-01-01,18:00,0,0,6,6,1020
2011-01-01,18:30,0,0,6,6,1020
2011-01-01,19:00,0,0,6,6,1020
2011-01-01,19:30,260,1,6,6,1021
2011-01-01,20:00,0,0,6,6,1021
2011-01-01,20:30,0,0,6,6,1021
2011-01-01,21:00,0,1,6,6,1021
2011-01-01,21:30,0,0,6,6,1021
2011-01-01,22:00,0,0,6,6,1021
2011-01-02,00:00,310,2,7,7,1020
2011-01-02,00:30,280,3,7,7,1020
2011-01-02,01:00,290,3,7,7,1020
2011-01-02,01:30,0,1,7,7,1020
2011-01-02,02:00,0,0,7,7,1020
2011-01-02,02:30,0,0,7,7,1020
2011-01-02,03:00,0,0,7,6,1020
2011-01-02,05:30,0,0,6,6,1020
2011-01-02,06:00,0,0,6,6,1020
2011-01-02,06:30,0,0,6,6,1020
2011-01-02,07:00,0,2,6,6,1020
2011-01-02,07:30,40,2,6,6,1020
2011-01-02,08:00,30,1,6,6,1020
2011-01-02,08:30,0,0,6,6,1020
2011-01-02,09:00,0,0,6,6,1020
2011-01-02,09:30,0,1,7,6,1021
2011-01-02,10:00,30,7,7,6,1021
2011-01-02,10:30,30,7,7,6,1021
