ArrDelay,Distance,ctime,cwday,cdate
17.0,541,165.0,102,0
37.0,541,165.0,154,0
55.0,541,225.0,154,0
22.0,541,330.0,154,0
17.0,541,165.0,205,0
34.0,541,225.0,205,0
7.0,541,330.0,205,0
77.0,541,165.0,257,0
11.0,541,330.0,0,10
4.0,541,225.0,51,10
11.0,541,330.0,51,10
27.0,541,225.0,102,10
146.0,541,330.0,102,10
51.0,541,165.0,154,10
7.0,541,330.0,154,10
5.0,541,165.0,205,10
2.0,541,225.0,205,10
16.0,541,330.0,205,10
1.0,541,330.0,257,10
22.0,541,225.0,0,10
42.0,541,225.0,51,10
6.0,541,330.0,51,10
2.0,541,225.0,102,10
69.0,541,225.0,154,20
51.0,541,165.0,205,20
57.0,541,225.0,205,20
80.0,541,330.0,205,20
176.0,541,165.0,257,20
2.0,541,225.0,257,20
1.0,541,330.0,257,20
16.0,541,330.0,308,20
1.0,541,330.0,0,20
61.0,541,165.0,102,20
54.0,541,225.0,102,20
83.0,541,330.0,102,20
52.0,541,225.0,154,20
31.0,541,330.0,154,20
6.0,541,165.0,205,20
8.0,541,225.0,205,20
21.0,541,330.0,205,20
11.0,541,165.0,257,20
21.0,541,225.0,257,20
17.0,541,225.0,0,30
26.0,541,330.0,0,30
1.0,541,330.0,51,30
22.0,541,330.0,154,30
122.0,541,225.0,205,30
16.0,541,330.0,205,30
22.0,892,150.0,154,0
1.0,106,195.0,154,0
96.0,1522,225.0,154,0
38.0,289,285.0,154,0
74.0,589,315.0,154,0
54.0,892,225.0,154,0
9.0,740,180.0,154,0
42.0,213,240.0,154,0
56.0,766,285.0,154,0
64.0,426,270.0,154,0
310.0,274,255.0,154,0
46.0,213,225.0,154,0
43.0,589,225.0,154,0
22.0,740,150.0,154,0
10.0,766,150.0,154,0
20.0,740,315.0,154,0
34.0,264,270.0,154,0
248.0,589,180.0,154,0
13.0,106,105.0,154,0
19.0,425,120.0,154,0
88.0,740,225.0,154,0
43.0,184,255.0,154,0
8.0,187,105.0,154,0
62.0,187,180.0,154,0
101.0,508,210.0,154,0
152.0,187,270.0,154,0
25.0,340,120.0,154,0
25.0,740,270.0,154,0
22.0,483,300.0,154,0
17.0,106,225.0,154,0
40.0,94,300.0,154,0
95.0,483,210.0,154,0
41.0,267,255.0,154,0
63.0,508,270.0,154,0
45.0,213,300.0,154,0
84.0,274,105.0,154,0
19.0,209,105.0,154,0
23.0,213,165.0,205,0
9.0,340,210.0,205,0
21.0,264,105.0,205,0
13.0,144,240.0,205,0
197.0,760,150.0,205,0
10.0,184,120.0,205,0
2.0,766,195.0,205,0
24.0,425,300.0,205,0
26.0,508,120.0,205,0
49.0,267,105.0,205,0
6.0,425,210.0,205,0
29.0,892,150.0,205,0
97.0,1522,225.0,205,0
31.0,892,225.0,205,0
136.0,106,105.0,205,0
1.0,766,285.0,205,0
9.0,426,270.0,205,0
28.0,589,225.0,205,0
5.0,740,150.0,205,0
2.0,766,150.0,205,0
2.0,740,315.0,205,0
38.0,184,225.0,205,0
90.0,589,180.0,205,0
145.0,740,225.0,205,0
76.0,184,255.0,205,0
88.0,508,210.0,205,0
141.0,187,270.0,205,0
42.0,340,120.0,205,0
11.0,483,300.0,205,0
2.0,340,300.0,205,0
6.0,267,180.0,205,0
17.0,508,270.0,205,0
68.0,213,300.0,205,0
14.0,209,105.0,257,0
25.0,264,225.0,257,0
9.0,760,150.0,257,0
47.0,213,120.0,257,0
25.0,425,300.0,257,0
40.0,267,105.0,257,0
4.0,425,210.0,257,0
7.0,892,150.0,257,0
14.0,1522,225.0,257,0
4.0,589,315.0,257,0
26.0,892,225.0,257,0
8.0,106,105.0,257,0
9.0,766,285.0,257,0
35.0,426,270.0,257,0
3.0,766,150.0,257,0
5.0,589,180.0,257,0
9.0,425,120.0,257,0
8.0,187,180.0,257,0
10.0,508,210.0,257,0
23.0,187,270.0,257,0
5.0,267,180.0,257,0
15.0,144,240.0,308,0
9.0,760,150.0,308,0
1.0,766,195.0,308,0
15.0,425,300.0,308,0
13.0,1522,225.0,308,0
28.0,892,225.0,308,0
1.0,740,180.0,308,0
18.0,213,255.0,308,0
1.0,106,105.0,308,0
58.0,267,255.0,308,0
17.0,766,150.0,308,0
43.0,184,225.0,308,0
20.0,589,180.0,308,0
23.0,740,225.0,308,0
13.0,144,105.0,308,0
34.0,187,270.0,308,0
25.0,508,270.0,308,0
143.0,94,240.0,308,0
19.0,340,210.0,0,10
16.0,144,240.0,0,10
54.0,760,150.0,0,10
10.0,425,210.0,0,10
10.0,426,225.0,0,10
102.0,1522,225.0,0,10
62.0,106,225.0,0,10
13.0,740,180.0,0,10
9.0,340,180.0,0,10
19.0,426,270.0,0,10
14.0,589,225.0,0,10
30.0,740,315.0,0,10
5.0,184,225.0,0,10
38.0,740,225.0,0,10
57.0,184,255.0,0,10
12.0,267,180.0,0,10
9.0,340,210.0,51,10
1.0,264,105.0,51,10
3.0,144,240.0,51,10
27.0,760,150.0,51,10
6.0,766,195.0,51,10
23.0,267,105.0,51,10
2.0,425,210.0,51,10
22.0,1522,225.0,51,10
18.0,589,315.0,51,10
81.0,766,285.0,51,10
4.0,766,150.0,51,10
215.0,740,315.0,51,10
59.0,589,180.0,51,10
4.0,425,120.0,51,10
53.0,740,225.0,51,10
61.0,184,255.0,51,10
9.0,187,180.0,51,10
1.0,483,240.0,51,10
1.0,340,300.0,51,10
21.0,508,270.0,51,10
4.0,94,240.0,51,10
1.0,264,105.0,102,10
19.0,760,150.0,102,10
16.0,766,195.0,102,10
6.0,508,120.0,102,10
2.0,267,105.0,102,10
25.0,1522,225.0,102,10
8.0,340,180.0,102,10
1.0,426,270.0,102,10
48.0,740,150.0,102,10
51.0,184,225.0,102,10
44.0,187,150.0,102,10
8.0,187,270.0,102,10
7.0,94,240.0,102,10
4.0,213,165.0,154,10
25.0,87,135.0,154,10
17.0,209,105.0,154,10
11.0,288,180.0,154,10
121.0,264,105.0,154,10
15.0,144,240.0,154,10
10.0,264,225.0,154,10
2.0,760,150.0,154,10
16.0,213,120.0,154,10
13.0,267,105.0,154,10
7.0,425,210.0,154,10
6.0,892,150.0,154,10
