metar_press,metar_rh,metar_temp,metar_wind_dir,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
1013.0,93.02,1.0,260.0,8.23,1007.65,99.1,-0.46,250.0,6.51,03:00,2011-01-01
1010.0,86.59,2.0,260.0,10.29,1004.02,100.0,0.55,234.0,5.77,06:00,2011-01-01
1010.0,86.69,3.0,280.0,8.23,1003.95,100.0,0.31,264.0,6.29,09:00,2011-01-01
1010.0,80.64,3.0,290.0,7.72,1004.14,100.0,1.02,271.0,4.27,12:00,2011-01-01
1011.0,74.97,3.0,290.0,5.66,1004.77,100.0,0.26,276.0,5.66,15:00,2011-01-01
1012.0,74.97,3.0,280.0,5.14,1005.99,99.7,0.76,263.0,2.82,18:00,2011-01-01
1013.0,80.5,2.0,280.0,4.12,1006.5,99.8,0.11,277.0,4.9,21:00,2011-01-01
1013.0,80.35,1.0,280.0,5.66,1007.21,99.3,-0.71,293.0,2.78,00:00,2011-01-02
1013.0,80.35,1.0,290.0,4.63,1007.81,98.7,-0.78,284.0,3.86,03:00,2011-01-02
1014.0,80.35,1.0,300.0,3.09,1007.77,99.6,-0.68,256.0,1.97,06:00,2011-01-02
1015.0,80.35,1.0,280.0,2.57,1009.75,99.0,-0.46,276.0,3.43,09:00,2011-01-02
1016.0,80.35,1.0,290.0,3.6,1009.83,100.0,0.35,287.0,2.71,12:00,2011-01-02
1017.0,80.2,0.0,290.0,3.09,1010.48,98.7,-0.84,292.0,3.1,15:00,2011-01-02
1017.0,92.85,-2.0,280.0,2.06,1011.18,99.7,-3.45,267.0,3.0,18:00,2011-01-02
1018.0,86.27,-1.0,280.0,2.57,1011.96,99.7,-3.56,279.0,2.9,21:00,2011-01-02
1018.0,92.85,-2.0,280.0,3.09,1012.37,99.2,-0.8,293.0,1.94,00:00,2011-01-03
1019.0,92.91,-1.0,290.0,3.6,1012.75,98.5,-1.46,286.0,3.25,03:00,2011-01-03
1019.0,86.27,-1.0,290.0,3.09,1012.85,99.2,-1.97,284.0,2.47,06:00,2011-01-03
1020.0,86.27,-1.0,310.0,3.6,1014.07,99.4,-2.82,283.0,2.48,09:00,2011-01-03
1020.0,86.16,-2.0,300.0,3.09,1014.31,98.2,-1.59,281.0,2.13,12:00,2011-01-03
1020.0,80.06,-1.0,300.0,2.06,1014.84,98.5,-2.76,275.0,2.49,15:00,2011-01-03
1020.0,86.06,-3.0,270.0,1.03,1014.14,99.2,-2.82,256.0,1.55,18:00,2011-01-03
1020.0,92.74,-4.0,250.0,3.6,1014.46,98.6,-1.73,234.0,2.56,21:00,2011-01-03
1020.0,92.85,-2.0,270.0,3.6,1013.45,99.4,-2.19,237.0,2.44,00:00,2011-01-04
1019.0,92.85,-2.0,190.0,2.06,1013.15,99.9,-1.84,235.0,2.75,03:00,2011-01-04
1018.0,92.91,-1.0,210.0,2.57,1012.21,99.9,-1.53,215.0,1.73,06:00,2011-01-04
1019.0,86.38,0.0,200.0,2.57,1012.77,99.1,-1.53,225.0,3.13,09:00,2011-01-04
