,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1013.0,93.02,1.0,8.23,1008,99,0,250,6,45.0,0
1,1010.0,86.59,2.0,10.29,1004,100,1,235,6,90.0,0
2,1010.0,86.69,3.0,8.23,1004,100,0,265,6,135.0,0
3,1010.0,80.64,3.0,7.72,1004,100,1,270,4,180.0,0
4,1011.0,74.97,3.0,5.66,1005,100,0,275,5,225.0,0
5,1012.0,74.97,3.0,5.14,1006,100,1,265,3,270.0,0
6,1013.0,80.5,2.0,4.12,1006,100,0,275,5,315.0,0
7,1013.0,80.35,1.0,5.66,1007,99,-1,295,3,0.0,0
8,1013.0,80.35,1.0,4.63,1008,99,-1,285,4,45.0,0
9,1014.0,80.35,1.0,3.09,1008,100,-1,255,2,90.0,0
10,1015.0,80.35,1.0,2.57,1010,99,0,275,3,135.0,0
11,1016.0,80.35,1.0,3.6,1010,100,0,285,2,180.0,0
12,1017.0,80.2,0.0,3.09,1010,99,-1,290,3,225.0,0
13,1017.0,92.85,-2.0,2.06,1011,100,-3,265,3,270.0,0
14,1018.0,86.27,-1.0,2.57,1012,100,-4,280,3,315.0,0
15,1018.0,92.85,-2.0,3.09,1012,99,-1,295,2,0.0,5
16,1019.0,92.91,-1.0,3.6,1013,98,-1,285,3,45.0,5
17,1019.0,86.27,-1.0,3.09,1013,99,-2,285,2,90.0,5
18,1020.0,86.27,-1.0,3.6,1014,99,-3,285,2,135.0,5
19,1020.0,86.16,-2.0,3.09,1014,98,-2,280,2,180.0,5
20,1020.0,80.06,-1.0,2.06,1015,98,-3,275,2,225.0,5
21,1020.0,86.06,-3.0,1.03,1014,99,-3,255,1,270.0,5
22,1020.0,92.74,-4.0,3.6,1014,99,-2,235,2,315.0,5
23,1020.0,92.85,-2.0,3.6,1013,99,-2,235,2,0.0,5
24,1019.0,92.85,-2.0,2.06,1013,100,-2,235,3,45.0,5
25,1018.0,92.91,-1.0,2.57,1012,100,-2,215,1,90.0,5
26,1019.0,86.38,0.0,2.57,1013,99,-2,225,3,135.0,5
27,1018.0,86.38,0.0,3.09,1012,100,0,215,2,180.0,5
28,1018.0,86.27,-1.0,3.09,1012,100,-3,200,2,225.0,5
29,1018.0,86.16,-2.0,2.57,1012,100,-7,190,1,270.0,5
30,1018.0,79.75,-3.0,2.57,1012,99,-7,200,3,315.0,5
31,1018.0,85.83,-5.0,3.09,1012,99,-8,205,3,0.0,5
32,1017.0,85.72,-6.0,3.09,1011,99,-9,190,3,45.0,5
33,1016.0,85.61,-7.0,3.09,1011,99,-10,205,3,90.0,5
34,1017.0,79.29,-6.0,4.12,1011,99,-9,185,3,135.0,5
35,1015.0,68.37,-3.0,4.12,1009,99,-4,170,2,180.0,5
36,1014.0,68.37,-3.0,5.14,1008,99,-7,160,3,225.0,5
37,1013.0,67.92,-5.0,4.63,1007,99,-8,155,3,270.0,5
38,1010.0,73.29,-6.0,5.14,1005,99,-9,155,4,315.0,5
39,1008.0,79.29,-6.0,5.66,1002,99,-8,165,3,0.0,5
40,1005.0,79.6,-4.0,4.63,1000,98,-6,165,5,45.0,5
41,1002.0,68.8,-1.0,4.63,996,98,-4,140,3,90.0,5
42,1001.0,86.38,0.0,5.66,996,99,-3,180,6,135.0,5
43,1001.0,86.48,1.0,4.63,995,100,0,185,4,180.0,5
44,1001.0,93.08,2.0,3.6,995,100,1,195,4,225.0,5
45,1000.0,93.08,2.0,4.12,995,100,1,155,4,270.0,5
46,999.0,93.13,3.0,5.66,993,100,1,175,5,315.0,5
47,998.0,93.19,4.0,5.14,993,100,2,195,4,0.0,5
48,1000.0,86.99,6.0,6.69,995,100,2,225,6,45.0,5
49,1006.0,86.79,4.0,4.63,1000,100,2,265,4,90.0,5
50,1011.0,86.69,3.0,1.54,1005,100,1,270,3,135.0,5
51,1012.0,75.15,4.0,1.03,1007,100,2,120,0,180.0,5
52,1011.0,80.78,4.0,3.6,1005,100,0,110,3,225.0,5
53,1010.0,80.78,4.0,3.6,1004,100,2,135,3,270.0,5
54,1008.0,93.19,4.0,2.57,1003,100,3,155,3,315.0,5
55,1008.0,93.19,4.0,1.54,1002,100,2,185,2,0.0,10
56,1008.0,93.24,5.0,1.54,1002,100,2,230,3,45.0,10
57,1007.0,93.24,5.0,1.54,1002,100,3,215,2,90.0,10
58,1007.0,93.29,6.0,2.57,1002,100,4,200,4,135.0,10
59,1007.0,87.19,8.0,3.09,1002,100,6,180,3,180.0,10
60,1006.0,81.34,8.0,4.63,1001,100,6,195,4,225.0,10
61,1006.0,76.01,9.0,5.66,1001,100,6,195,4,270.0,10
62,1007.0,76.01,9.0,5.14,1001,99,5,205,5,315.0,10
63,1007.0,76.01,9.0,4.63,1002,99,5,210,4,0.0,10
64,1006.0,75.84,8.0,4.63,1002,100,4,200,4,45.0,10
65,1005.0,81.34,8.0,3.6,999,100,6,185,3,90.0,10
66,1006.0,81.34,8.0,3.6,1001,100,6,210,5,135.0,10
67,1008.0,93.29,6.0,4.12,1002,100,7,300,1,180.0,10
68,1011.0,86.79,4.0,3.6,1005,98,4,270,2,225.0,10
69,1013.0,86.69,3.0,3.09,1008,98,2,250,3,270.0,10
70,1016.0,93.02,1.0,3.09,1010,99,2,265,3,315.0,10
71,1018.0,93.02,1.0,2.06,1012,100,2,270,2,0.0,10
72,1020.0,80.5,2.0,3.09,1014,99,1,260,2,45.0,10
73,1021.0,80.35,1.0,3.09,1015,99,1,235,2,90.0,10
74,1023.0,80.5,2.0,2.06,1017,98,0,240,2,135.0,10
75,1023.0,75.15,4.0,3.09,1017,100,3,235,1,180.0,10
76,1023.0,74.97,3.0,2.57,1017,100,0,195,2,225.0,10
77,1023.0,80.35,1.0,2.57,1017,100,-1,165,2,270.0,10
78,1022.0,86.38,0.0,2.06,1016,100,-2,145,3,315.0,10
79,1020.0,86.27,-1.0,3.6,1014,100,-3,130,2,0.0,10
80,1018.0,86.16,-2.0,2.57,1012,100,-3,120,3,45.0,10
81,1015.0,92.91,-1.0,3.6,1009,99,-1,140,1,90.0,10
82,1013.0,93.02,1.0,4.12,1008,97,1,145,3,135.0,10
83,1011.0,93.08,2.0,3.6,1005,98,2,130,3,180.0,10
84,1009.0,86.69,3.0,3.6,1003,100,2,155,3,225.0,10
85,1008.0,86.69,3.0,3.09,1003,100,2,155,3,270.0,10
86,1008.0,80.64,3.0,4.63,1002,99,1,190,4,315.0,10
87,1007.0,86.69,3.0,4.12,1002,99,1,200,4,0.0,10
88,1007.0,86.69,3.0,4.12,1002,99,2,240,5,45.0,10
89,1010.0,86.79,4.0,5.66,1004,99,3,255,4,90.0,10
90,1013.0,80.64,3.0,7.72,1007,95,2,260,5,135.0,10
91,1014.0,70.07,5.0,7.72,1008,96,4,255,3,180.0,10
92,1015.0,75.15,4.0,3.6,1008,99,2,230,4,225.0,10
93,1013.0,75.15,4.0,3.6,1007,99,2,200,2,270.0,10
94,1011.0,80.78,4.0,3.09,1005,99,2,185,3,315.0,10
95,1008.0,93.13,3.0,2.57,1002,100,2,200,2,0.0,15
96,1007.0,93.19,4.0,1.54,1001,100,2,245,2,45.0,15
97,1008.0,93.19,4.0,2.06,1002,100,3,270,2,90.0,15
98,1009.0,100.0,4.0,1.54,1003,99,3,295,2,135.0,15
99,1009.0,93.24,5.0,1.03,1004,95,5,285,1,180.0,15
100,1009.0,93.24,5.0,1.03,1003,99,4,170,1,225.0,15
101,1008.0,93.24,5.0,3.6,1002,100,4,130,3,270.0,15
102,1007.0,93.29,6.0,2.57,1000,100,6,220,3,315.0,15
103,1007.0,93.45,9.0,5.14,1002,100,8,270,5,0.0,15
104,1008.0,93.45,9.0,5.14,1003,99,8,265,4,45.0,15
105,1008.0,93.5,10.0,4.63,1003,100,8,230,2,90.0,15
106,1009.0,93.5,10.0,4.12,1003,100,8,235,3,135.0,15
107,1009.0,93.5,10.0,4.63,1003,100,9,225,1,180.0,15
108,1008.0,87.47,11.0,6.69,1003,99,10,250,5,225.0,15
109,1009.0,81.74,11.0,6.17,1003,99,10,225,3,270.0,15
110,1008.0,87.38,10.0,4.63,1003,99,9,240,4,315.0,15
111,1008.0,87.38,10.0,5.66,1002,99,9,230,5,0.0,15
112,1010.0,93.4,8.0,4.63,1004,98,8,270,6,45.0,15
113,1014.0,87.19,8.0,5.66,1008,99,7,250,3,90.0,15
114,1017.0,87.19,8.0,5.66,1011,95,8,260,5,135.0,15
115,1019.0,70.87,9.0,4.63,1014,91,9,270,3,180.0,15
116,1021.0,75.84,8.0,2.57,1015,98,6,260,3,225.0,15
117,1022.0,81.34,8.0,3.6,1016,98,6,205,2,270.0,15
118,1022.0,81.34,8.0,3.6,1016,99,6,210,3,315.0,15
119,1022.0,93.35,7.0,2.57,1016,99,6,220,3,0.0,15
120,1022.0,81.34,8.0,4.12,1016,99,6,235,3,45.0,15
121,1022.0,75.84,8.0,3.6,1017,99,5,200,3,90.0,15
122,1023.0,75.84,8.0,3.6,1017,97,6,220,3,135.0,15
123,1023.0,70.87,9.0,5.66,1018,92,9,235,2,180.0,15
124,1023.0,71.07,10.0,5.66,1018,98,7,225,3,225.0,15
125,1023.0,81.34,8.0,4.12,1018,99,6,205,3,270.0,15
126,1024.0,81.2,7.0,2.57,1018,98,5,225,3,315.0,15
127,1023.0,86.99,6.0,2.06,1018,99,4,240,2,0.0,15
128,1024.0,86.79,4.0,2.06,1018,99,3,215,3,45.0,15
129,1023.0,93.13,3.0,2.06,1018,100,2,200,2,90.0,15
130,1023.0,86.79,4.0,2.06,1017,96,4,210,2,135.0,15
131,1023.0,75.84,8.0,1.54,1017,91,7,195,1,180.0,15
132,1022.0,66.05,9.0,1.54,1016,97,4,185,2,225.0,15
133,1021.0,81.06,6.0,2.57,1015,99,3,205,2,270.0,15
134,1020.0,86.89,5.0,3.09,1014,99,2,195,3,315.0,15
