metar_press,metar_rh,metar_temp,metar_wind_dir,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
1019.0,100.0,9.0,350.0,2.57,987.85,97.6,5.01,6.0,1.15,00:00,2011-01-01
1019.0,93.45,9.0,340.0,4.12,987.2,95.6,5.71,13.0,1.91,03:00,2011-01-01
1019.0,93.45,9.0,330.0,4.12,987.18,96.1,4.85,346.0,1.74,06:00,2011-01-01
1020.0,93.45,9.0,320.0,4.63,987.41,85.2,8.2,8.0,1.5,09:00,2011-01-01
1019.0,76.67,13.0,310.0,1.54,987.28,72.6,12.24,182.0,0.99,12:00,2011-01-01
1018.0,82.0,13.0,200.0,1.54,985.79,81.8,11.05,195.0,1.73,15:00,2011-01-01
1018.0,87.56,12.0,210.0,1.54,986.57,99.1,6.67,162.0,1.08,18:00,2011-01-01
1018.0,93.55,11.0,0.0,0.0,985.88,98.4,7.11,221.0,1.06,21:00,2011-01-01
1017.0,93.55,11.0,190.0,1.54,985.37,98.3,6.78,112.0,0.26,00:00,2011-01-02
1016.0,100.0,10.0,0.0,0.0,984.91,95.9,7.3,9.0,0.82,03:00,2011-01-02
1016.0,100.0,10.0,310.0,3.09,983.84,96.1,5.71,298.0,0.65,06:00,2011-01-02
1016.0,87.28,9.0,320.0,5.14,984.52,86.1,7.38,344.0,1.72,09:00,2011-01-02
1016.0,71.46,12.0,340.0,4.63,984.29,74.5,11.2,270.0,1.9,12:00,2011-01-02
1015.0,66.92,13.0,210.0,3.09,983.18,74.6,10.53,253.0,1.29,15:00,2011-01-02
1016.0,87.28,9.0,300.0,2.57,984.61,96.9,4.16,329.0,1.02,18:00,2011-01-02
1017.0,81.34,8.0,320.0,3.6,985.11,97.4,2.5,67.0,0.24,21:00,2011-01-02
1018.0,86.99,6.0,360.0,4.63,985.96,96.2,3.9,318.0,0.64,00:00,2011-01-03
1018.0,81.06,6.0,340.0,7.72,986.49,86.6,4.54,331.0,1.37,03:00,2011-01-03
1018.0,75.5,6.0,340.0,8.23,986.21,80.3,3.98,310.0,2.94,06:00,2011-01-03
1019.0,70.48,7.0,330.0,6.69,987.66,71.7,5.13,333.0,1.14,09:00,2011-01-03
1020.0,65.82,8.0,330.0,4.12,987.97,68.3,7.82,277.0,1.46,12:00,2011-01-03
1019.0,76.18,10.0,200.0,1.54,987.49,74.5,7.74,198.0,1.63,15:00,2011-01-03
1020.0,81.47,9.0,320.0,1.54,988.22,97.1,2.82,296.0,1.27,18:00,2011-01-03
1020.0,70.27,6.0,330.0,3.6,988.41,98.0,1.81,313.0,1.03,21:00,2011-01-03
1020.0,80.78,4.0,340.0,6.17,988.3,97.1,1.29,322.0,1.5,00:00,2011-01-04
1019.0,80.64,3.0,330.0,5.14,986.84,96.5,0.14,318.0,1.18,03:00,2011-01-04
1018.0,86.59,2.0,340.0,5.66,986.25,84.8,2.07,309.0,3.5,06:00,2011-01-04
1019.0,80.64,3.0,320.0,5.14,986.44,72.2,3.37,300.0,1.63,09:00,2011-01-04
1018.0,65.82,8.0,320.0,4.12,985.85,55.2,7.75,271.0,2.25,12:00,2011-01-04
1016.0,61.99,11.0,0.0,0.0,984.02,61.9,7.67,236.0,1.78,15:00,2011-01-04
1016.0,81.34,8.0,70.0,1.54,985.14,88.1,2.29,83.0,0.64,18:00,2011-01-04
1017.0,75.84,8.0,320.0,2.57,984.47,87.0,2.27,334.0,1.04,21:00,2011-01-04
1016.0,75.84,8.0,340.0,4.12,984.35,86.4,3.61,318.0,0.73,00:00,2011-01-05
1015.0,75.67,7.0,340.0,4.12,982.85,80.2,4.65,321.0,1.76,03:00,2011-01-05
1014.0,87.09,7.0,330.0,3.6,982.51,88.8,3.75,322.0,1.85,06:00,2011-01-05
1015.0,81.34,8.0,320.0,4.12,983.06,83.1,5.75,355.0,1.93,09:00,2011-01-05
1014.0,76.51,12.0,130.0,1.54,983.01,71.2,10.85,182.0,1.04,12:00,2011-01-05
1013.0,81.87,12.0,190.0,2.57,981.13,77.7,10.17,229.0,1.38,15:00,2011-01-05
1014.0,81.87,12.0,220.0,3.09,982.33,97.4,5.71,234.0,1.25,18:00,2011-01-05
1014.0,93.45,9.0,290.0,1.54,981.61,97.4,5.61,314.0,1.71,21:00,2011-01-05
1014.0,93.45,9.0,320.0,1.54,981.92,98.0,5.0,320.0,1.1,00:00,2011-01-06
1012.0,100.0,8.0,320.0,2.57,981.01,97.4,5.7,306.0,2.15,03:00,2011-01-06
1012.0,93.4,8.0,320.0,2.57,980.78,98.1,6.01,284.0,2.36,06:00,2011-01-06
1013.0,93.45,9.0,270.0,2.57,981.56,89.7,8.69,291.0,2.68,09:00,2011-01-06
1013.0,82.13,14.0,220.0,6.69,981.72,73.1,13.45,250.0,2.73,12:00,2011-01-06
1013.0,93.65,13.0,220.0,5.14,980.73,79.7,13.37,245.0,3.0,15:00,2011-01-06
1013.0,93.65,13.0,220.0,3.09,982.3,92.5,9.43,282.0,1.86,18:00,2011-01-06
1013.0,93.6,12.0,250.0,3.6,982.09,92.0,9.08,305.0,1.73,21:00,2011-01-06
1014.0,87.65,13.0,200.0,2.57,983.56,95.9,8.55,301.0,1.5,00:00,2011-01-07
1014.0,100.0,9.0,340.0,1.54,982.97,96.9,7.13,303.0,1.15,03:00,2011-01-07
1014.0,93.5,10.0,310.0,2.57,982.46,97.6,7.68,271.0,2.2,06:00,2011-01-07
1015.0,100.0,10.0,310.0,2.06,983.66,86.2,10.96,291.0,1.92,09:00,2011-01-07
1015.0,93.7,14.0,190.0,4.12,984.31,70.4,14.88,235.0,2.58,12:00,2011-01-07
1014.0,87.75,14.0,220.0,6.69,983.52,79.2,13.89,227.0,2.37,15:00,2011-01-07
1015.0,93.65,13.0,220.0,3.6,983.5,96.5,8.93,262.0,1.72,18:00,2011-01-07
1015.0,93.6,12.0,280.0,2.06,983.83,92.2,9.39,305.0,2.49,21:00,2011-01-07
1016.0,87.38,10.0,320.0,2.06,984.88,91.2,8.99,290.0,2.6,00:00,2011-01-08
1016.0,100.0,8.0,320.0,1.54,984.95,90.6,8.05,295.0,3.0,03:00,2011-01-08
1016.0,81.74,11.0,230.0,1.54,985.43,90.3,7.35,278.0,2.79,06:00,2011-01-08
1018.0,76.83,14.0,240.0,3.09,986.38,81.8,9.72,270.0,2.55,09:00,2011-01-08
1017.0,72.21,16.0,220.0,6.69,985.95,65.8,15.25,238.0,2.38,12:00,2011-01-08
1016.0,67.35,15.0,220.0,5.66,984.44,72.6,14.04,232.0,2.89,15:00,2011-01-08
1017.0,76.83,14.0,230.0,7.72,985.79,90.1,9.82,244.0,4.42,18:00,2011-01-08
1017.0,87.56,12.0,230.0,2.57,985.07,93.6,7.49,292.0,1.36,21:00,2011-01-08
1016.0,93.5,10.0,230.0,2.06,985.38,96.3,8.11,261.0,2.81,00:00,2011-01-09
1015.0,81.61,10.0,340.0,1.54,983.88,97.2,7.71,311.0,2.07,03:00,2011-01-09
1015.0,81.61,10.0,290.0,3.6,984.38,94.7,7.7,293.0,2.01,06:00,2011-01-09
1015.0,81.74,11.0,330.0,3.09,985.75,90.5,9.83,296.0,1.39,09:00,2011-01-09
1015.0,82.26,15.0,210.0,2.57,983.82,73.2,14.71,322.0,0.95,12:00,2011-01-09
1015.0,51.73,17.0,310.0,5.66,983.38,75.8,13.64,256.0,2.06,15:00,2011-01-09
1017.0,82.13,14.0,40.0,4.63,985.53,91.5,9.03,52.0,3.2,18:00,2011-01-09
1019.0,82.0,13.0,90.0,3.09,986.37,95.4,6.07,35.0,1.11,21:00,2011-01-09
1019.0,82.0,13.0,130.0,2.57,987.58,93.2,8.78,233.0,0.97,00:00,2011-01-10
1019.0,81.87,12.0,170.0,3.09,987.16,95.3,7.96,159.0,0.97,03:00,2011-01-10
1020.0,87.38,10.0,310.0,0.51,987.71,96.9,8.27,184.0,0.51,06:00,2011-01-10
1021.0,76.34,11.0,310.0,3.09,988.32,93.1,9.02,270.0,1.96,09:00,2011-01-10
1020.0,71.84,14.0,200.0,6.17,988.26,75.4,11.11,247.0,2.12,12:00,2011-01-10
1019.0,66.92,13.0,220.0,6.69,986.51,67.0,10.65,263.0,2.7,15:00,2011-01-10
1019.0,81.74,11.0,260.0,3.6,987.59,81.9,6.42,267.0,2.64,18:00,2011-01-10
1019.0,87.47,11.0,240.0,4.63,986.98,83.9,5.93,280.0,2.71,21:00,2011-01-10
1018.0,76.01,9.0,320.0,2.57,986.77,92.0,4.69,292.0,1.6,00:00,2011-01-11
1018.0,81.34,8.0,340.0,5.66,985.47,83.8,4.72,311.0,2.42,03:00,2011-01-11
1017.0,81.2,7.0,340.0,5.66,985.5,81.9,4.77,326.0,3.02,06:00,2011-01-11
1019.0,76.01,9.0,330.0,5.66,985.62,72.9,6.62,318.0,2.52,09:00,2011-01-11
1017.0,58.53,14.0,260.0,1.54,985.78,60.1,12.35,271.0,4.31,12:00,2011-01-11
1016.0,55.39,17.0,310.0,9.26,984.03,69.5,13.1,296.0,2.45,15:00,2011-01-11
1017.0,62.93,15.0,140.0,1.54,985.64,92.3,8.94,355.0,1.93,18:00,2011-01-11
1019.0,93.55,11.0,50.0,3.09,986.33,89.9,7.86,19.0,2.45,21:00,2011-01-11
1019.0,81.47,9.0,330.0,2.06,988.6,94.0,5.76,339.0,1.69,00:00,2011-01-12
1021.0,87.19,8.0,330.0,4.12,988.95,89.4,5.2,322.0,2.14,03:00,2011-01-12
1023.0,87.09,7.0,330.0,5.14,990.37,82.1,5.32,330.0,3.0,06:00,2011-01-12
1025.0,81.34,8.0,320.0,4.12,992.01,66.3,7.43,339.0,2.33,09:00,2011-01-12
1024.0,58.53,14.0,320.0,4.12,992.92,55.0,12.79,281.0,4.09,12:00,2011-01-12
1024.0,71.84,14.0,210.0,3.09,991.86,64.2,13.24,255.0,1.49,15:00,2011-01-12
1025.0,87.65,13.0,180.0,2.06,992.78,91.2,7.33,239.0,1.32,18:00,2011-01-12
1025.0,93.5,10.0,330.0,1.54,992.86,94.5,7.75,326.0,1.83,21:00,2011-01-12
1025.0,87.28,9.0,350.0,5.66,993.57,94.9,7.54,350.0,1.62,00:00,2011-01-13
1024.0,81.47,9.0,320.0,4.63,992.51,92.3,7.4,312.0,2.25,03:00,2011-01-13
1024.0,81.47,9.0,330.0,5.66,992.31,86.8,7.45,348.0,2.96,06:00,2011-01-13
1025.0,81.74,11.0,320.0,5.66,992.16,76.7,9.93,346.0,1.92,09:00,2011-01-13
1024.0,67.35,15.0,320.0,5.14,991.79,62.9,15.7,284.0,0.43,12:00,2011-01-13
1022.0,82.13,14.0,210.0,4.12,990.91,69.9,14.88,183.0,0.29,15:00,2011-01-13
1023.0,93.6,12.0,250.0,2.57,991.08,95.2,7.02,251.0,0.52,18:00,2011-01-13
1023.0,87.38,10.0,320.0,4.12,990.3,95.5,6.03,282.0,0.5,21:00,2011-01-13
1022.0,81.61,10.0,340.0,5.14,990.46,93.5,7.46,290.0,1.84,00:00,2011-01-14
1022.0,87.19,8.0,340.0,4.63,989.42,91.0,7.79,313.0,2.3,03:00,2011-01-14
1021.0,87.19,8.0,330.0,4.63,989.59,82.3,7.35,316.0,2.53,06:00,2011-01-14
1022.0,81.47,9.0,310.0,4.12,989.87,69.7,9.99,314.0,2.28,09:00,2011-01-14
1022.0,76.83,14.0,210.0,3.6,990.19,55.4,15.43,265.0,1.65,12:00,2011-01-14
1020.0,87.75,14.0,220.0,6.17,989.31,64.4,15.25,252.0,2.06,15:00,2011-01-14
1022.0,100.0,12.0,240.0,3.09,990.1,84.8,9.26,265.0,1.91,18:00,2011-01-14
1023.0,93.55,11.0,310.0,1.03,991.19,75.1,9.12,5.0,2.41,21:00,2011-01-14
1025.0,93.45,9.0,50.0,3.09,993.73,85.8,8.31,50.0,2.59,00:00,2011-01-15
1026.0,81.47,9.0,350.0,4.63,993.83,94.6,5.26,323.0,0.71,03:00,2011-01-15
1027.0,87.09,7.0,340.0,5.66,995.42,92.7,4.9,287.0,1.64,06:00,2011-01-15
1029.0,81.47,9.0,330.0,5.14,996.13,72.0,10.01,295.0,1.29,09:00,2011-01-15
1028.0,76.83,14.0,220.0,3.6,996.46,62.9,14.38,243.0,2.0,12:00,2011-01-15
1027.0,72.03,15.0,230.0,8.75,994.6,68.7,13.96,236.0,2.57,15:00,2011-01-15
1027.0,76.67,13.0,230.0,6.17,995.71,85.7,9.2,247.0,3.83,18:00,2011-01-15
1028.0,87.38,10.0,300.0,2.06,994.97,85.2,7.66,304.0,2.3,21:00,2011-01-15
1027.0,81.47,9.0,320.0,1.54,995.4,78.8,6.43,317.0,1.9,00:00,2011-01-16
1027.0,87.09,7.0,330.0,3.6,994.69,74.0,5.2,288.0,1.3,03:00,2011-01-16
1027.0,87.09,7.0,310.0,3.09,994.95,73.0,5.74,242.0,2.64,06:00,2011-01-16
1028.0,87.19,8.0,320.0,4.12,995.41,63.5,10.2,286.0,1.62,09:00,2011-01-16
1028.0,87.56,12.0,220.0,7.2,995.73,59.3,12.8,226.0,3.3,12:00,2011-01-16
1026.0,81.87,12.0,220.0,7.2,994.05,66.2,13.33,239.0,2.03,15:00,2011-01-16
1027.0,93.5,10.0,220.0,5.14,995.09,89.5,7.09,237.0,1.78,18:00,2011-01-16
1028.0,93.45,9.0,300.0,2.57,995.73,91.9,5.64,255.0,1.31,21:00,2011-01-16
1028.0,93.45,9.0,270.0,3.09,996.12,90.6,4.81,259.0,1.28,00:00,2011-01-17
1028.0,93.45,9.0,340.0,2.57,995.29,81.8,4.31,304.0,1.62,03:00,2011-01-17
1028.0,93.4,8.0,330.0,4.12,995.71,72.4,3.21,290.0,1.42,06:00,2011-01-17
1029.0,87.19,8.0,320.0,4.63,995.52,57.6,7.36,334.0,1.69,09:00,2011-01-17
1028.0,81.87,12.0,230.0,2.06,996.37,52.4,12.4,253.0,1.55,12:00,2011-01-17
1027.0,81.87,12.0,210.0,4.12,994.64,58.7,12.65,211.0,0.81,15:00,2011-01-17
1028.0,81.87,12.0,70.0,1.54,996.13,92.6,4.16,141.0,0.76,18:00,2011-01-17
1029.0,81.74,11.0,80.0,2.57,996.04,93.9,2.81,101.0,0.25,21:00,2011-01-17
1028.0,81.74,11.0,290.0,2.06,996.47,92.7,3.2,301.0,1.43,00:00,2011-01-18
