,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1019.0,100.0,9.0,2.57,988,98,5,5,1,0.0,0
1,1019.0,93.45,9.0,4.12,987,96,6,15,2,45.0,0
2,1019.0,93.45,9.0,4.12,987,96,5,345,1,90.0,0
3,1020.0,93.45,9.0,4.63,987,85,8,10,1,135.0,0
4,1019.0,76.67,13.0,1.54,987,73,12,180,1,180.0,0
5,1018.0,82.0,13.0,1.54,986,82,11,195,1,225.0,0
6,1018.0,87.56,12.0,1.54,987,99,7,160,1,270.0,0
7,1018.0,93.55,11.0,0.0,986,98,7,220,1,315.0,0
8,1017.0,93.55,11.0,1.54,985,98,7,110,0,0.0,0
9,1016.0,100.0,10.0,0.0,985,96,7,10,1,45.0,0
10,1016.0,100.0,10.0,3.09,984,96,6,300,0,90.0,0
11,1016.0,87.28,9.0,5.14,985,86,7,345,1,135.0,0
12,1016.0,71.46,12.0,4.63,984,74,11,270,2,180.0,0
13,1015.0,66.92,13.0,3.09,983,75,11,255,1,225.0,0
14,1016.0,87.28,9.0,2.57,985,97,4,330,1,270.0,0
15,1017.0,81.34,8.0,3.6,985,97,2,65,0,315.0,0
16,1018.0,86.99,6.0,4.63,986,96,4,320,0,0.0,5
17,1018.0,81.06,6.0,7.72,986,87,5,330,1,45.0,5
18,1018.0,75.5,6.0,8.23,986,80,4,310,3,90.0,5
19,1019.0,70.48,7.0,6.69,988,72,5,335,1,135.0,5
20,1020.0,65.82,8.0,4.12,988,68,8,275,1,180.0,5
21,1019.0,76.18,10.0,1.54,987,74,8,200,1,225.0,5
22,1020.0,81.47,9.0,1.54,988,97,3,295,1,270.0,5
23,1020.0,70.27,6.0,3.6,988,98,2,315,1,315.0,5
24,1020.0,80.78,4.0,6.17,988,97,1,320,1,0.0,5
25,1019.0,80.64,3.0,5.14,987,96,0,320,1,45.0,5
26,1018.0,86.59,2.0,5.66,986,85,2,310,3,90.0,5
27,1019.0,80.64,3.0,5.14,986,72,3,300,1,135.0,5
28,1018.0,65.82,8.0,4.12,986,55,8,270,2,180.0,5
29,1016.0,61.99,11.0,0.0,984,62,8,235,2,225.0,5
30,1016.0,81.34,8.0,1.54,985,88,2,85,0,270.0,5
31,1017.0,75.84,8.0,2.57,984,87,2,335,1,315.0,5
32,1016.0,75.84,8.0,4.12,984,86,4,320,0,0.0,5
33,1015.0,75.67,7.0,4.12,983,80,5,320,2,45.0,5
34,1014.0,87.09,7.0,3.6,983,89,4,320,2,90.0,5
35,1015.0,81.34,8.0,4.12,983,83,6,355,2,135.0,5
36,1014.0,76.51,12.0,1.54,983,71,11,180,1,180.0,5
37,1013.0,81.87,12.0,2.57,981,78,10,230,1,225.0,5
38,1014.0,81.87,12.0,3.09,982,97,6,235,1,270.0,5
39,1014.0,93.45,9.0,1.54,982,97,6,315,1,315.0,5
40,1014.0,93.45,9.0,1.54,982,98,5,320,1,0.0,5
41,1012.0,100.0,8.0,2.57,981,97,6,305,2,45.0,5
42,1012.0,93.4,8.0,2.57,981,98,6,285,2,90.0,5
43,1013.0,93.45,9.0,2.57,982,90,9,290,2,135.0,5
44,1013.0,82.13,14.0,6.69,982,73,13,250,2,180.0,5
45,1013.0,93.65,13.0,5.14,981,80,13,245,3,225.0,5
46,1013.0,93.65,13.0,3.09,982,92,9,280,2,270.0,5
47,1013.0,93.6,12.0,3.6,982,92,9,305,1,315.0,5
48,1014.0,87.65,13.0,2.57,984,96,9,300,1,0.0,5
49,1014.0,100.0,9.0,1.54,983,97,7,305,1,45.0,5
50,1014.0,93.5,10.0,2.57,982,98,8,270,2,90.0,5
51,1015.0,100.0,10.0,2.06,984,86,11,290,2,135.0,5
52,1015.0,93.7,14.0,4.12,984,70,15,235,2,180.0,5
53,1014.0,87.75,14.0,6.69,984,79,14,225,2,225.0,5
54,1015.0,93.65,13.0,3.6,984,96,9,260,1,270.0,5
55,1015.0,93.6,12.0,2.06,984,92,9,305,2,315.0,5
56,1016.0,87.38,10.0,2.06,985,91,9,290,2,0.0,10
57,1016.0,100.0,8.0,1.54,985,91,8,295,3,45.0,10
58,1016.0,81.74,11.0,1.54,985,90,7,280,3,90.0,10
59,1018.0,76.83,14.0,3.09,986,82,10,270,2,135.0,10
60,1017.0,72.21,16.0,6.69,986,66,15,240,2,180.0,10
61,1016.0,67.35,15.0,5.66,984,73,14,230,3,225.0,10
62,1017.0,76.83,14.0,7.72,986,90,10,245,4,270.0,10
63,1017.0,87.56,12.0,2.57,985,94,7,290,1,315.0,10
64,1016.0,93.5,10.0,2.06,985,96,8,260,3,0.0,10
65,1015.0,81.61,10.0,1.54,984,97,8,310,2,45.0,10
66,1015.0,81.61,10.0,3.6,984,95,8,295,2,90.0,10
67,1015.0,81.74,11.0,3.09,986,90,10,295,1,135.0,10
68,1015.0,82.26,15.0,2.57,984,73,15,320,1,180.0,10
69,1015.0,51.73,17.0,5.66,983,76,14,255,2,225.0,10
70,1017.0,82.13,14.0,4.63,986,92,9,50,3,270.0,10
71,1019.0,82.0,13.0,3.09,986,95,6,35,1,315.0,10
72,1019.0,82.0,13.0,2.57,988,93,9,235,1,0.0,10
73,1019.0,81.87,12.0,3.09,987,95,8,160,1,45.0,10
74,1020.0,87.38,10.0,0.51,988,97,8,185,0,90.0,10
75,1021.0,76.34,11.0,3.09,988,93,9,270,2,135.0,10
76,1020.0,71.84,14.0,6.17,988,75,11,245,2,180.0,10
77,1019.0,66.92,13.0,6.69,987,67,11,265,2,225.0,10
78,1019.0,81.74,11.0,3.6,988,82,6,265,2,270.0,10
79,1019.0,87.47,11.0,4.63,987,84,6,280,2,315.0,10
80,1018.0,76.01,9.0,2.57,987,92,5,290,1,0.0,10
81,1018.0,81.34,8.0,5.66,985,84,5,310,2,45.0,10
82,1017.0,81.2,7.0,5.66,986,82,5,325,3,90.0,10
83,1019.0,76.01,9.0,5.66,986,73,7,320,2,135.0,10
84,1017.0,58.53,14.0,1.54,986,60,12,270,4,180.0,10
85,1016.0,55.39,17.0,9.26,984,70,13,295,2,225.0,10
86,1017.0,62.93,15.0,1.54,986,92,9,355,2,270.0,10
87,1019.0,93.55,11.0,3.09,986,90,8,20,2,315.0,10
88,1019.0,81.47,9.0,2.06,989,94,6,340,1,0.0,10
89,1021.0,87.19,8.0,4.12,989,89,5,320,2,45.0,10
90,1023.0,87.09,7.0,5.14,990,82,5,330,3,90.0,10
91,1025.0,81.34,8.0,4.12,992,66,7,340,2,135.0,10
92,1024.0,58.53,14.0,4.12,993,55,13,280,4,180.0,10
93,1024.0,71.84,14.0,3.09,992,64,13,255,1,225.0,10
94,1025.0,87.65,13.0,2.06,993,91,7,240,1,270.0,10
95,1025.0,93.5,10.0,1.54,993,94,8,325,2,315.0,10
96,1025.0,87.28,9.0,5.66,994,95,8,350,1,0.0,15
97,1024.0,81.47,9.0,4.63,993,92,7,310,2,45.0,15
98,1024.0,81.47,9.0,5.66,992,87,7,350,3,90.0,15
99,1025.0,81.74,11.0,5.66,992,77,10,345,2,135.0,15
100,1024.0,67.35,15.0,5.14,992,63,16,285,0,180.0,15
101,1022.0,82.13,14.0,4.12,991,70,15,185,0,225.0,15
102,1023.0,93.6,12.0,2.57,991,95,7,250,0,270.0,15
103,1023.0,87.38,10.0,4.12,990,96,6,280,0,315.0,15
104,1022.0,81.61,10.0,5.14,990,94,7,290,2,0.0,15
105,1022.0,87.19,8.0,4.63,989,91,8,315,2,45.0,15
106,1021.0,87.19,8.0,4.63,990,82,7,315,2,90.0,15
107,1022.0,81.47,9.0,4.12,990,70,10,315,2,135.0,15
108,1022.0,76.83,14.0,3.6,990,55,15,265,1,180.0,15
109,1020.0,87.75,14.0,6.17,989,64,15,250,2,225.0,15
110,1022.0,100.0,12.0,3.09,990,85,9,265,2,270.0,15
111,1023.0,93.55,11.0,1.03,991,75,9,5,2,315.0,15
112,1025.0,93.45,9.0,3.09,994,86,8,50,2,0.0,15
