metar_press,metar_rh,metar_temp,metar_wind_dir,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
1024.0,92.91,-1.0,90.0,3.09,1015.95,94.1,-2.83,60.0,1.06,00:00,2011-01-01
1024.0,92.97,0.0,120.0,2.06,1014.52,90.6,-2.54,42.0,0.96,03:00,2011-01-01
1024.0,92.97,0.0,30.0,1.03,1014.92,88.9,-2.55,19.0,1.03,06:00,2011-01-01
1024.0,92.97,0.0,0.0,0.0,1014.55,81.3,-0.96,12.0,0.99,09:00,2011-01-01
1024.0,93.02,1.0,310.0,1.54,1015.07,78.0,1.53,255.0,0.62,12:00,2011-01-01
1023.0,93.02,1.0,300.0,2.06,1013.39,88.0,0.89,322.0,1.64,15:00,2011-01-01
1023.0,100.0,1.0,290.0,2.06,1014.51,95.9,0.0,341.0,1.9,18:00,2011-01-01
1023.0,100.0,1.0,320.0,1.54,1013.98,97.0,0.7,318.0,1.77,21:00,2011-01-01
1023.0,93.08,2.0,20.0,2.57,1014.66,98.2,1.13,357.0,1.95,00:00,2011-01-02
1023.0,100.0,2.0,20.0,3.09,1014.76,98.3,0.56,15.0,4.18,03:00,2011-01-02
1024.0,93.08,2.0,10.0,3.09,1015.84,97.3,0.5,20.0,3.66,06:00,2011-01-02
1025.0,93.08,2.0,20.0,1.54,1017.04,92.4,0.1,26.0,3.0,09:00,2011-01-02
1026.0,86.69,3.0,20.0,3.09,1016.97,81.6,3.24,353.0,2.49,12:00,2011-01-02
1026.0,80.64,3.0,10.0,2.57,1016.62,92.1,1.49,359.0,3.75,15:00,2011-01-02
1026.0,86.48,1.0,340.0,1.54,1017.61,96.5,-1.79,351.0,1.79,18:00,2011-01-02
1027.0,93.02,1.0,350.0,2.06,1017.95,95.2,-1.49,1.0,2.33,21:00,2011-01-02
1026.0,92.97,0.0,340.0,2.06,1017.9,96.1,-1.45,340.0,1.7,00:00,2011-01-03
1026.0,92.97,0.0,350.0,2.57,1017.15,92.9,-0.26,3.0,1.89,03:00,2011-01-03
1026.0,100.0,0.0,340.0,1.54,1016.86,90.9,-0.5,27.0,1.14,06:00,2011-01-03
1026.0,100.0,0.0,300.0,2.06,1016.63,85.8,0.53,165.0,1.06,09:00,2011-01-03
1025.0,80.5,2.0,330.0,2.06,1016.26,82.3,2.33,275.0,1.66,12:00,2011-01-03
1024.0,64.44,2.0,30.0,1.03,1014.54,87.4,1.53,270.0,0.91,15:00,2011-01-03
1023.0,80.35,1.0,160.0,2.06,1013.89,93.5,-1.73,129.0,0.48,18:00,2011-01-03
1023.0,80.35,1.0,180.0,1.54,1013.63,93.1,-1.37,219.0,1.85,21:00,2011-01-03
1022.0,86.48,1.0,190.0,1.54,1012.99,94.8,-2.83,207.0,1.26,00:00,2011-01-04
1020.0,92.97,0.0,170.0,2.06,1011.96,93.8,-3.17,211.0,1.62,03:00,2011-01-04
1019.0,92.91,-1.0,180.0,3.09,1010.36,92.9,-3.21,191.0,2.51,06:00,2011-01-04
1019.0,92.91,-1.0,180.0,4.12,1010.17,90.2,-2.57,183.0,3.49,09:00,2011-01-04
1018.0,86.38,0.0,190.0,4.63,1009.07,77.3,0.65,177.0,3.62,12:00,2011-01-04
1016.0,74.61,1.0,200.0,4.12,1007.39,79.4,0.36,187.0,4.01,15:00,2011-01-04
1015.0,74.43,0.0,190.0,4.63,1006.63,87.4,-1.03,167.0,3.52,18:00,2011-01-04
1015.0,80.2,0.0,190.0,4.63,1005.89,86.9,-1.2,179.0,3.82,21:00,2011-01-04
1014.0,80.2,0.0,190.0,5.14,1005.46,88.8,-2.89,171.0,2.88,00:00,2011-01-05
1012.0,80.2,0.0,190.0,3.6,1003.83,84.2,-3.25,176.0,3.95,03:00,2011-01-05
1010.0,86.27,-1.0,170.0,3.6,1002.32,83.7,-3.65,149.0,2.57,06:00,2011-01-05
1009.0,86.27,-1.0,170.0,3.6,1000.55,78.3,-2.78,151.0,4.61,09:00,2011-01-05
1007.0,69.45,2.0,180.0,5.66,997.75,63.3,1.95,170.0,3.72,12:00,2011-01-05
1004.0,80.64,3.0,190.0,4.63,995.54,71.2,1.22,181.0,5.45,15:00,2011-01-05
1003.0,86.79,4.0,190.0,5.14,993.98,92.9,1.48,163.0,3.91,18:00,2011-01-05
1000.0,93.24,5.0,190.0,5.14,991.39,98.6,2.66,179.0,6.59,21:00,2011-01-05
998.0,93.35,7.0,210.0,4.63,989.71,99.3,4.06,176.0,5.66,00:00,2011-01-06
997.0,100.0,9.0,240.0,8.23,989.32,98.8,4.8,207.0,8.4,03:00,2011-01-06
998.0,93.45,9.0,220.0,6.17,989.47,98.8,5.75,199.0,5.09,06:00,2011-01-06
998.0,93.45,9.0,220.0,6.17,989.38,98.5,4.98,197.0,7.47,09:00,2011-01-06
996.0,93.5,10.0,220.0,11.32,988.07,98.5,8.25,193.0,4.21,12:00,2011-01-06
