,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1024.0,92.91,-1.0,3.09,1016,94,-3,60,1,0.0,0
1,1024.0,92.97,0.0,2.06,1015,91,-3,40,1,45.0,0
2,1024.0,92.97,0.0,1.03,1015,89,-3,20,1,90.0,0
3,1024.0,92.97,0.0,0.0,1015,81,-1,10,1,135.0,0
4,1024.0,93.02,1.0,1.54,1015,78,2,260,0,180.0,0
5,1023.0,93.02,1.0,2.06,1013,88,1,320,1,225.0,0
6,1023.0,100.0,1.0,2.06,1015,96,0,340,2,270.0,0
7,1023.0,100.0,1.0,1.54,1014,97,1,320,2,315.0,0
8,1023.0,93.08,2.0,2.57,1015,98,1,360,2,0.0,0
9,1023.0,100.0,2.0,3.09,1015,98,1,20,4,45.0,0
10,1024.0,93.08,2.0,3.09,1016,97,0,20,3,90.0,0
11,1025.0,93.08,2.0,1.54,1017,92,0,30,3,135.0,0
12,1026.0,86.69,3.0,3.09,1017,82,3,350,2,180.0,0
13,1026.0,80.64,3.0,2.57,1017,92,1,360,4,225.0,0
14,1026.0,86.48,1.0,1.54,1018,96,-2,350,2,270.0,0
15,1027.0,93.02,1.0,2.06,1018,95,-1,0,2,315.0,0
16,1026.0,92.97,0.0,2.06,1018,96,-1,340,1,0.0,0
17,1026.0,92.97,0.0,2.57,1017,93,0,0,2,45.0,0
18,1026.0,100.0,0.0,1.54,1017,91,0,30,1,90.0,0
19,1026.0,100.0,0.0,2.06,1017,86,1,160,1,135.0,0
20,1025.0,80.5,2.0,2.06,1016,82,2,280,1,180.0,0
21,1024.0,64.44,2.0,1.03,1015,87,2,270,1,225.0,0
22,1023.0,80.35,1.0,2.06,1014,94,-2,130,0,270.0,0
23,1023.0,80.35,1.0,1.54,1014,93,-1,220,2,315.0,0
24,1022.0,86.48,1.0,1.54,1013,95,-3,210,1,0.0,0
25,1020.0,92.97,0.0,2.06,1012,94,-3,210,1,45.0,0
26,1019.0,92.91,-1.0,3.09,1010,93,-3,190,2,90.0,0
27,1019.0,92.91,-1.0,4.12,1010,90,-3,180,3,135.0,0
28,1018.0,86.38,0.0,4.63,1009,77,1,180,3,180.0,0
29,1016.0,74.61,1.0,4.12,1007,79,0,190,4,225.0,0
30,1015.0,74.43,0.0,4.63,1007,87,-1,170,3,270.0,0
31,1015.0,80.2,0.0,4.63,1006,87,-1,180,4,315.0,0
32,1014.0,80.2,0.0,5.14,1005,89,-3,170,3,0.0,0
33,1012.0,80.2,0.0,3.6,1004,84,-3,180,4,45.0,0
34,1010.0,86.27,-1.0,3.6,1002,84,-4,150,2,90.0,0
35,1009.0,86.27,-1.0,3.6,1001,78,-3,150,4,135.0,0
36,1007.0,69.45,2.0,5.66,998,63,2,170,3,180.0,0
37,1004.0,80.64,3.0,4.63,996,71,1,180,5,225.0,0
38,1003.0,86.79,4.0,5.14,994,93,1,160,4,270.0,0
39,1000.0,93.24,5.0,5.14,991,99,3,180,6,315.0,0
40,998.0,93.35,7.0,4.63,990,99,4,180,5,0.0,10
41,997.0,100.0,9.0,8.23,989,99,5,210,8,45.0,10
42,998.0,93.45,9.0,6.17,989,99,6,200,5,90.0,10
43,998.0,93.45,9.0,6.17,989,98,5,200,7,135.0,10
44,996.0,93.5,10.0,11.32,988,98,8,190,4,180.0,10
45,996.0,87.56,12.0,10.29,988,98,9,210,9,225.0,10
46,999.0,87.56,12.0,9.26,990,98,10,200,5,270.0,10
47,1001.0,87.56,12.0,8.23,992,98,9,220,7,315.0,10
48,1003.0,87.56,12.0,5.14,995,98,8,190,3,0.0,10
49,1004.0,87.56,12.0,5.66,995,99,8,190,5,45.0,10
50,1004.0,93.55,11.0,5.14,996,99,8,180,3,90.0,10
51,1004.0,93.55,11.0,4.12,996,98,9,190,5,135.0,10
52,1004.0,93.55,11.0,5.14,995,98,10,180,4,180.0,10
53,1004.0,87.56,12.0,4.63,996,95,10,210,5,225.0,10
54,1005.0,93.55,11.0,5.14,996,98,9,170,5,270.0,10
55,1004.0,93.55,11.0,4.63,995,99,9,190,5,315.0,10
56,1004.0,87.47,11.0,6.17,996,98,9,170,5,0.0,10
57,1003.0,81.74,11.0,7.72,995,97,9,190,7,45.0,10
58,1003.0,71.27,11.0,10.29,994,97,9,180,6,90.0,10
59,1004.0,66.7,12.0,12.86,994,89,9,200,10,135.0,10
60,1004.0,71.46,12.0,9.77,996,89,11,200,5,180.0,10
61,1005.0,76.51,12.0,7.2,997,90,11,220,7,225.0,10
62,1006.0,81.74,11.0,7.72,997,99,9,180,5,270.0,10
63,1006.0,93.45,9.0,2.57,997,99,9,220,4,315.0,10
64,1006.0,93.4,8.0,2.06,997,98,8,320,3,0.0,10
65,1008.0,93.29,6.0,3.09,999,92,5,340,4,45.0,10
66,1010.0,93.24,5.0,2.06,1001,93,5,260,3,90.0,10
67,1013.0,93.24,5.0,2.57,1003,95,4,270,3,135.0,10
68,1014.0,75.67,7.0,4.63,1006,86,7,280,2,180.0,10
69,1016.0,65.82,8.0,4.12,1007,91,6,260,3,225.0,10
70,1018.0,80.92,5.0,1.03,1009,97,3,260,2,270.0,10
71,1020.0,86.79,4.0,1.03,1011,97,2,250,2,315.0,10
72,1020.0,93.08,2.0,1.03,1012,98,1,250,1,0.0,10
73,1021.0,93.08,2.0,2.06,1012,97,1,200,2,45.0,10
74,1021.0,93.08,2.0,2.57,1012,98,0,130,1,90.0,10
75,1021.0,100.0,2.0,3.6,1011,97,2,180,3,135.0,10
76,1020.0,70.48,7.0,3.6,1011,84,6,200,3,180.0,10
77,1017.0,61.02,7.0,5.14,1008,87,5,160,4,225.0,10
78,1015.0,75.15,4.0,5.14,1007,95,2,160,4,270.0,10
79,1014.0,93.02,1.0,5.14,1004,96,0,160,5,315.0,10
80,1011.0,86.59,2.0,5.66,1003,97,-1,160,4,0.0,10
81,1007.0,80.64,3.0,8.23,998,93,0,160,7,45.0,10
82,1004.0,93.19,4.0,6.17,995,94,2,170,7,90.0,10
83,1004.0,100.0,5.0,5.14,996,98,4,230,5,135.0,10
84,1006.0,93.45,9.0,5.14,997,94,8,250,4,180.0,10
85,1008.0,87.28,9.0,6.17,1000,97,8,270,6,225.0,10
86,1013.0,81.34,8.0,6.69,1005,98,7,290,5,270.0,10
87,1017.0,81.2,7.0,3.09,1008,94,5,300,4,315.0,10
88,1019.0,81.06,6.0,1.54,1011,97,4,250,2,0.0,10
89,1020.0,81.06,6.0,3.6,1011,98,3,220,3,45.0,10
90,1019.0,81.06,6.0,4.12,1011,100,4,200,4,90.0,10
91,1018.0,93.24,5.0,6.69,1009,96,5,200,7,135.0,10
92,1017.0,100.0,7.0,6.17,1008,93,7,200,5,180.0,10
93,1016.0,93.5,10.0,5.66,1007,96,9,220,6,225.0,10
94,1016.0,87.56,12.0,6.69,1008,99,10,220,5,270.0,10
95,1017.0,87.56,12.0,8.23,1007,98,10,230,7,315.0,10
96,1017.0,93.6,12.0,8.23,1008,98,11,240,4,0.0,10
97,1017.0,87.56,12.0,10.29,1008,98,10,240,7,45.0,10
98,1017.0,87.56,12.0,7.2,1008,98,11,220,6,90.0,10
99,1017.0,87.65,13.0,8.23,1008,97,11,230,7,135.0,10
100,1017.0,82.13,14.0,8.75,1008,90,13,230,5,180.0,10
101,1017.0,76.83,14.0,8.23,1008,93,12,230,7,225.0,10
102,1017.0,82.0,13.0,7.72,1008,98,11,210,5,270.0,10
103,1017.0,82.0,13.0,8.23,1008,97,11,220,6,315.0,10
104,1018.0,81.87,12.0,7.72,1009,94,11,220,5,0.0,10
105,1017.0,81.74,11.0,7.2,1009,94,10,220,6,45.0,10
106,1017.0,81.61,10.0,3.6,1008,98,9,200,3,90.0,10
107,1018.0,71.46,12.0,7.2,1008,98,9,210,6,135.0,10
108,1017.0,62.47,13.0,7.2,1008,86,12,220,4,180.0,10
109,1015.0,66.92,13.0,8.75,1007,89,11,220,7,225.0,10
110,1016.0,87.28,9.0,5.14,1008,95,10,220,5,270.0,10
111,1019.0,87.28,9.0,6.69,1010,98,8,240,5,315.0,10
112,1021.0,87.28,9.0,5.14,1012,98,7,240,4,0.0,10
113,1022.0,87.19,8.0,4.63,1013,98,6,230,5,45.0,10
114,1023.0,93.35,7.0,4.63,1015,100,7,220,4,90.0,10
115,1024.0,93.4,8.0,6.17,1015,94,7,210,6,135.0,10
116,1024.0,76.18,10.0,7.72,1016,86,10,210,5,180.0,10
117,1024.0,66.49,11.0,7.2,1015,88,9,210,5,225.0,10
118,1025.0,81.47,9.0,6.17,1016,98,7,190,4,270.0,10
119,1025.0,81.47,9.0,6.69,1015,98,6,200,5,315.0,10
120,1025.0,87.28,9.0,3.09,1016,98,6,190,4,0.0,20
121,1024.0,100.0,7.0,4.63,1016,98,5,200,4,45.0,20
122,1025.0,87.19,8.0,4.63,1016,98,5,200,3,90.0,20
123,1025.0,87.19,8.0,4.12,1015,94,5,180,4,135.0,20
124,1024.0,62.23,12.0,5.14,1015,81,10,170,4,180.0,20
125,1022.0,50.64,13.0,5.14,1014,85,9,180,4,225.0,20
126,1023.0,76.01,9.0,3.6,1014,96,6,200,2,270.0,20
127,1023.0,81.2,7.0,4.12,1015,96,5,220,3,315.0,20
128,1024.0,87.09,7.0,2.57,1016,97,5,190,3,0.0,20
129,1024.0,93.29,6.0,2.06,1015,98,5,190,3,45.0,20
130,1023.0,93.24,5.0,3.09,1014,99,4,200,3,90.0,20
131,1023.0,100.0,4.0,4.63,1014,97,5,190,4,135.0,20
132,1023.0,100.0,5.0,4.12,1014,86,7,180,4,180.0,20
133,1022.0,87.28,9.0,6.69,1013,91,8,210,5,225.0,20
134,1024.0,87.38,10.0,3.09,1015,98,8,200,3,270.0,20
135,1024.0,93.45,9.0,4.63,1015,98,8,200,4,315.0,20
136,1024.0,87.28,9.0,5.66,1016,100,7,190,3,0.0,20
137,1023.0,93.4,8.0,5.14,1015,97,8,210,5,45.0,20
138,1022.0,81.47,9.0,4.12,1014,97,8,210,5,90.0,20
139,1023.0,76.01,9.0,5.14,1014,95,8,230,5,135.0,20
140,1024.0,93.4,8.0,3.09,1016,86,9,270,3,180.0,20
141,1026.0,93.29,6.0,7.72,1016,91,7,330,5,225.0,20
142,1029.0,81.06,6.0,2.06,1020,94,5,340,4,270.0,20
143,1031.0,80.92,5.0,4.12,1021,98,2,340,4,315.0,20
144,1032.0,86.59,2.0,2.57,1023,98,1,340,1,0.0,20
145,1032.0,93.08,2.0,3.09,1023,98,1,0,3,45.0,20
146,1032.0,93.02,1.0,2.57,1024,97,2,350,2,90.0,20
147,1033.0,93.08,2.0,1.54,1024,92,3,350,2,135.0,20
148,1033.0,86.79,4.0,3.6,1024,77,4,360,2,180.0,20
149,1032.0,80.78,4.0,3.09,1022,79,5,320,2,225.0,20
150,1032.0,86.69,3.0,2.57,1023,97,1,320,1,270.0,20
151,1032.0,86.69,3.0,1.03,1023,97,2,340,3,315.0,20
152,1031.0,93.13,3.0,4.12,1022,96,3,320,2,0.0,20
153,1031.0,93.08,2.0,3.09,1021,96,3,350,4,45.0,20
154,1030.0,93.02,1.0,3.09,1022,96,2,350,3,90.0,20
155,1031.0,93.13,3.0,5.14,1022,91,2,360,4,135.0,20
156,1031.0,75.15,4.0,7.2,1022,72,5,10,5,180.0,20
157,1031.0,60.52,5.0,7.2,1022,79,5,10,5,225.0,20
158,1032.0,69.66,3.0,3.09,1023,97,1,360,4,270.0,20
159,1033.0,86.48,1.0,3.6,1023,98,0,10,4,315.0,20
160,1033.0,92.97,0.0,3.6,1025,99,-1,20,2,0.0,20
161,1034.0,92.91,-1.0,3.6,1025,95,-1,30,4,45.0,20
162,1034.0,92.91,-1.0,4.63,1026,98,-2,10,3,90.0,20
163,1035.0,92.91,-1.0,4.12,1026,91,-1,20,5,135.0,20
164,1035.0,80.2,0.0,5.14,1026,68,2,20,4,180.0,20
165,1034.0,80.2,0.0,6.17,1025,72,2,20,5,225.0,20
