metar_press,metar_rh,metar_temp,metar_wind_dir,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
1021.0,92.97,0.0,0.0,0.0,1001.7,95.9,-1.7,180.0,1.33,03:00,2011-01-01
1021.0,92.97,0.0,0.0,0.0,1001.5,95.1,-1.75,198.0,1.1,06:00,2011-01-01
1021.0,92.97,0.0,0.0,0.0,1000.83,84.6,0.37,168.0,1.21,09:00,2011-01-01
1021.0,92.97,0.0,0.0,0.0,999.3,77.4,2.47,199.0,2.15,12:00,2011-01-01
1017.0,70.27,6.0,230.0,2.06,997.13,90.6,0.04,170.0,1.83,15:00,2011-01-01
1016.0,86.59,2.0,0.0,0.0,996.75,93.8,-1.79,184.0,1.15,18:00,2011-01-01
1015.0,100.0,-2.0,0.0,0.0,996.07,93.0,-1.8,357.0,0.22,21:00,2011-01-01
1014.0,92.8,-3.0,0.0,0.0,995.42,92.5,-1.75,24.0,0.43,00:00,2011-01-02
1013.0,100.0,-4.0,0.0,0.0,994.88,92.9,-2.1,118.0,0.34,03:00,2011-01-02
1012.0,92.68,-5.0,0.0,0.0,993.91,92.9,-2.46,88.0,0.42,06:00,2011-01-02
1013.0,92.8,-3.0,0.0,0.0,994.84,83.2,0.31,99.0,0.91,09:00,2011-01-02
1013.0,92.8,-3.0,0.0,0.0,995.07,70.7,2.36,121.0,2.02,12:00,2011-01-02
1013.0,86.69,3.0,0.0,0.0,994.42,85.5,0.69,166.0,1.84,15:00,2011-01-02
1014.0,86.69,3.0,0.0,0.0,995.78,92.1,-0.69,10.0,1.73,18:00,2011-01-02
1016.0,93.02,1.0,10.0,2.06,997.49,84.6,-0.72,8.0,2.51,21:00,2011-01-02
1016.0,93.02,1.0,10.0,2.06,998.72,74.8,-0.67,337.0,3.15,00:00,2011-01-03
1017.0,92.85,-2.0,0.0,0.0,998.76,70.4,-1.24,356.0,2.08,03:00,2011-01-03
1017.0,92.85,-2.0,0.0,0.0,998.88,73.6,-1.51,353.0,1.24,06:00,2011-01-03
1017.0,92.85,-2.0,0.0,0.0,1000.49,61.3,0.79,24.0,2.33,09:00,2011-01-03
1017.0,92.85,-2.0,0.0,0.0,1001.49,67.5,3.11,100.0,1.83,12:00,2011-01-03
1017.0,92.85,-2.0,0.0,0.0,1001.19,95.9,0.98,92.0,1.24,15:00,2011-01-03
1017.0,92.85,-2.0,0.0,0.0,1001.38,99.6,0.54,75.0,1.47,18:00,2011-01-03
1021.0,80.35,1.0,0.0,0.0,1001.85,99.3,0.49,104.0,1.1,21:00,2011-01-03
1021.0,80.35,1.0,0.0,0.0,1002.86,99.0,-0.14,358.0,0.62,00:00,2011-01-04
1021.0,80.35,1.0,0.0,0.0,1001.34,98.0,-0.22,77.0,1.23,03:00,2011-01-04
1020.0,86.27,-1.0,0.0,0.0,1000.73,97.8,-0.88,96.0,0.64,06:00,2011-01-04
1020.0,74.43,0.0,0.0,0.0,1000.57,85.9,0.7,69.0,1.56,09:00,2011-01-04
1020.0,64.44,2.0,0.0,0.0,1000.12,72.9,1.85,139.0,1.41,12:00,2011-01-04
1020.0,64.44,2.0,0.0,0.0,999.07,87.3,-0.07,85.0,1.41,15:00,2011-01-04
1019.0,69.23,1.0,0.0,0.0,999.83,95.5,-2.51,354.0,0.31,18:00,2011-01-04
1019.0,74.43,0.0,0.0,0.0,999.91,94.7,-2.5,82.0,0.86,21:00,2011-01-04
1019.0,80.2,0.0,0.0,0.0,1000.25,94.0,-2.5,4.0,0.87,00:00,2011-01-05
1019.0,86.27,-1.0,0.0,0.0,999.91,88.0,-2.45,71.0,1.62,03:00,2011-01-05
1018.0,86.27,-1.0,0.0,0.0,1000.12,93.5,-2.65,88.0,0.41,06:00,2011-01-05
1019.0,86.27,-1.0,0.0,0.0,1000.08,77.2,-0.39,75.0,0.83,09:00,2011-01-05
1020.0,80.2,0.0,0.0,0.0,1000.29,65.2,1.05,133.0,1.27,12:00,2011-01-05
1020.0,80.2,0.0,0.0,0.0,999.06,76.8,-0.48,110.0,1.0,15:00,2011-01-05
1019.0,86.16,-2.0,0.0,0.0,1000.75,84.4,-2.52,153.0,0.71,18:00,2011-01-05
1020.0,80.2,0.0,0.0,0.0,1000.23,84.1,-2.56,54.0,0.5,21:00,2011-01-05
1020.0,92.85,-2.0,0.0,0.0,1001.97,81.4,-2.27,298.0,1.36,00:00,2011-01-06
1020.0,92.85,-2.0,0.0,0.0,1001.01,78.0,-2.36,341.0,1.15,03:00,2011-01-06
1019.0,86.27,-1.0,340.0,2.06,1000.85,73.5,-2.38,291.0,1.9,06:00,2011-01-06
1020.0,80.2,0.0,0.0,0.0,1000.91,59.9,-0.52,331.0,0.81,09:00,2011-01-06
1021.0,74.61,1.0,0.0,0.0,1001.32,49.5,2.05,223.0,2.11,12:00,2011-01-06
1021.0,74.61,1.0,0.0,0.0,999.7,63.0,0.16,199.0,0.52,15:00,2011-01-06
