windDir,windSpeed,temp,dewPoint,pressure
80,2,2,2,1019
70,3,3,3,1019
0,0,3,3,1020
280,2,4,4,1021
0,1,5,5,1021
0,0,6,5,1020
0,0,6,6,1020
0,1,6,6,1021
310,2,7,7,1020
0,0,7,6,1020
0,0,6,6,1020
0,0,6,6,1020
20,4,6,5,1021
320,6,6,4,1021
40,4,4,3,1022
0,2,3,2,1023
20,3,2,0,1023
270,2,2,1,1022
310,2,2,1,1021
0,0,2,1,1022
0,2,3,0,1021
0,1,4,-1,1020
0,0,1,0,1019
0,0,-2,-2,1020
0,0,-1,-1,1019
0,0,-1,-1,1018
0,2,0,0,1017
0,0,0,0,1017
40,5,5,4,1015
240,12,9,6,1013
0,2,8,7,1013
270,4,8,7,1013
240,10,8,7,1013
230,9,7,6,1012
240,8,6,6,1011
250,9,6,5,1011
270,4,8,7,1010
310,4,8,7,1008
240,4,9,7,1008
260,3,10,7,1008
230,21,11,8,1007
200,13,12,8,1008
0,2,10,7,1007
0,0,11,8,1008
220,16,16,9,1008
230,19,16,9,1007
220,12,14,9,1007
220,8,13,9,1008
210,8,13,9,1008
210,11,13,8,1008
240,9,11,7,1008
210,4,13,7,1009
230,24,14,8,1009
230,29,14,6,1008
230,13,12,6,1010
230,14,13,4,1011
230,21,12,5,1011
210,7,12,5,1012
230,10,12,6,1012
40,4,10,6,1012
210,8,15,5,1011
230,18,15,0,1010
200,8,12,3,1010
230,14,10,6,1011
250,4,10,5,1013
230,4,8,4,1014
330,6,6,5,1015
0,1,5,4,1018
80,3,7,4,1019
10,4,6,5,1019
0,0,6,5,1020
60,3,5,4,1021
0,0,1,1,1021
0,0,-1,-1,1021
0,0,0,0,1020
0,0,0,0,1020
230,14,9,3,1019
230,10,7,3,1018
250,10,7,3,1018
250,7,6,4,1018
260,11,7,5,1018
230,8,8,6,1018
200,6,8,6,1019
230,7,8,7,1021
0,0,11,10,1022
320,5,11,8,1022
320,9,10,8,1024
0,2,9,8,1026
220,1,9,9,1027
320,1,10,9,1027
260,2,9,9,1027
0,2,9,9,1028
0,0,12,10,1028
230,6,15,9,1027
240,7,8,7,1028
230,5,8,6,1029
0,0,4,3,1029
0,0,3,3,1028
0,0,5,5,1027
0,1,7,6,1028
250,3,8,7,1026
190,3,12,8,1023
0,1,7,6,1023
250,9,7,5,1023
0,0,4,3,1022
80,2,0,0,1022
0,0,-1,-1,1022
240,5,6,4,1023
220,9,13,6,1023
270,8,16,5,1023
290,3,9,6,1025
0,0,4,3,1027
0,0,1,1,1028
50,3,-1,-1,1027
0,0,1,1,1028
230,9,8,5,1027
240,6,12,6,1026
0,1,7,5,1026
0,0,1,1,1026
250,9,5,4,1026
250,8,4,4,1026
270,3,3,3,1026
220,1,3,3,1027
230,10,7,4,1026
230,11,11,5,1025
240,7,6,4,1026
0,1,5,3,1027
0,1,3,2,1027
220,4,6,3,1027
230,7,6,4,1027
240,9,8,5,1028
220,11,11,6,1028
190,5,14,6,1027
240,9,8,6,1028
0,0,5,4,1029
0,0,0,0,1029
230,1,0,0,1028
10,1,1,1,1027
0,0,4,4,1028
0,0,7,5,1027
30,4,10,8,1026
40,6,8,7,1026
40,2,7,7,1026
20,6,7,6,1026
30,3,7,6,1026
40,4,7,6,1025
30,4,7,6,1025
50,5,8,7,1025
40,5,8,6,1023
40,7,7,7,1024
40,8,6,6,1024
10,6,5,3,1024
360,4,3,2,1024
50,12,8,-7,1026
10,11,7,-4,1025
20,7,2,-3,1026
20,8,2,-1,1028
20,7,1,-3,1028
60,2,-2,-4,1029
0,0,-1,-4,1029
30,8,1,-3,1029
40,12,4,-3,1029
360,9,4,-4,1028
20,5,0,-4,1028
360,8,1,-4,1028
10,8,1,-4,1028
10,2,-2,-5,1027
310,2,-3,-5,1026
20,3,-1,-3,1026
30,13,2,-5,1025
30,11,2,-6,1024
10,9,-1,-6,1024
20,12,0,-4,1023
30,1,-1,-2,1022
30,10,2,-2,1021
30,11,3,-4,1021
20,5,-1,-5,1022
40,7,0,-3,1023
340,5,0,-4,1024
10,2,-2,-5,1024
0,0,-5,-6,1024
0,0,-4,-5,1024
10,6,3,-2,1023
20,9,8,-3,1022
20,7,-1,-3,1022
0,0,1,-2,1022
40,7,1,-2,1022
50,4,0,-3,1022
0,0,1,-2,1021
0,0,2,-1,1021
40,5,4,0,1021
10,7,4,-1,1019
10,4,2,-2,1019
50,3,1,-2,1018
0,0,-4,-5,1017
50,1,-7,-7,1015
0,0,-4,-4,1012
0,1,-2,-3,1011
0,0,7,-2,1009
90,3,11,-2,1005
10,3,0,-2,1004
70,3,-5,-5,1003
0,0,-4,-4,1002
0,0,-3,-3,1001
0,0,-6,-6,1001
0,1,0,-2,1002
100,5,7,1,1003
90,5,4,1,1003
70,6,3,3,1004
90,4,2,2,1005
0,0,2,2,1005
80,3,3,3,1005
110,8,3,2,1004
80,7,4,2,1005
80,8,6,3,1005
90,7,4,4,1004
0,1,3,3,1005
100,1,2,2,1006
0,0,1,1,1006
0,0,2,2,1006
0,0,2,2,1006
70,1,4,4,1008
0,0,6,4,1009
0,2,8,4,1008
0,1,5,3,1009
310,3,4,3,1010
