,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1012.0,45.93,31.0,1.54,1006,27,34,10,1,0.0,0
1,1010.0,45.93,31.0,9.26,1003,19,37,45,3,45.0,0
2,1009.0,45.39,29.0,9.26,1003,33,32,55,5,90.0,0
3,1010.0,69.36,25.0,9.77,1004,70,23,50,2,135.0,0
4,1011.0,83.23,23.0,5.14,1005,92,20,25,2,180.0,0
5,1010.0,88.44,22.0,2.06,1005,97,20,175,2,225.0,0
6,1011.0,88.36,21.0,10.8,1005,98,19,195,4,270.0,0
7,1012.0,83.11,22.0,4.12,1006,81,21,185,2,315.0,0
8,1012.0,69.36,25.0,7.2,1006,55,26,115,2,0.0,0
9,1011.0,83.23,23.0,8.75,1004,51,29,135,4,45.0,0
10,1011.0,88.44,22.0,10.8,1005,75,23,170,6,90.0,0
11,1014.0,93.98,20.0,8.23,1007,97,20,185,2,135.0,0
12,1015.0,93.98,20.0,10.29,1010,96,19,180,4,180.0,0
13,1013.0,82.87,20.0,10.29,1008,97,18,180,2,225.0,0
14,1013.0,88.19,19.0,7.72,1008,97,17,170,3,270.0,0
15,1014.0,88.19,19.0,8.23,1008,91,18,175,2,315.0,0
16,1014.0,82.87,20.0,7.72,1009,80,19,180,3,0.0,5
17,1015.0,77.77,20.0,9.26,1007,71,21,155,2,45.0,5
18,1013.0,88.19,19.0,6.69,1007,85,19,150,4,90.0,5
19,1013.0,82.75,19.0,8.75,1008,96,16,175,2,135.0,5
20,1014.0,77.77,20.0,7.72,1009,95,16,185,2,180.0,5
21,1014.0,88.1,18.0,6.69,1008,91,16,195,2,225.0,5
22,1012.0,82.75,19.0,8.23,1007,93,16,190,3,270.0,5
23,1014.0,82.75,19.0,8.23,1008,88,17,205,2,315.0,5
24,1013.0,77.77,20.0,7.72,1008,82,19,185,3,0.0,5
25,1012.0,64.29,21.0,6.17,1006,63,22,160,3,45.0,5
26,1011.0,64.29,21.0,5.66,1005,62,21,160,3,90.0,5
27,1011.0,68.38,20.0,5.66,1005,78,17,155,1,135.0,5
28,1011.0,64.07,20.0,4.63,1005,89,15,170,1,180.0,5
29,1010.0,64.07,20.0,4.12,1004,95,14,225,1,225.0,5
30,1008.0,82.51,17.0,3.6,1002,96,14,245,1,270.0,5
31,1008.0,68.38,20.0,2.57,1002,76,18,200,0,315.0,5
32,1007.0,64.29,21.0,3.6,1002,53,23,90,0,0.0,5
33,1006.0,56.91,23.0,5.66,1000,52,25,85,3,45.0,5
34,1005.0,60.47,22.0,4.63,999,60,23,85,2,90.0,5
35,1007.0,64.29,21.0,3.09,1002,90,17,115,1,135.0,5
36,1008.0,82.87,20.0,6.17,1004,95,17,190,3,180.0,5
37,1008.0,88.27,20.0,8.23,1003,96,17,195,2,225.0,5
38,1009.0,82.87,20.0,7.72,1004,96,17,195,4,270.0,5
39,1010.0,82.99,21.0,8.23,1005,89,19,185,2,315.0,5
40,1012.0,68.97,23.0,7.72,1006,71,22,185,5,0.0,5
41,1011.0,73.47,23.0,8.23,1006,65,24,145,3,45.0,5
42,1011.0,68.97,23.0,7.72,1005,63,23,170,4,90.0,5
43,1013.0,93.93,19.0,2.57,1007,83,20,130,2,135.0,5
44,1013.0,88.36,21.0,3.6,1008,99,17,225,0,180.0,5
45,1013.0,88.36,21.0,6.69,1007,98,17,200,1,225.0,5
46,1012.0,88.36,21.0,5.14,1007,91,19,195,2,270.0,5
47,1013.0,94.02,21.0,4.63,1008,85,21,155,1,315.0,5
