metar_press,metar_rh,metar_temp,metar_wind_dir,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
1036.0,43.77,-10.0,10.0,4.0,1036.46,44.0,-11.38,338.0,5.08,00:00,2011-01-01
1036.0,30.04,-4.0,360.0,6.0,1035.85,25.4,-5.54,338.0,4.09,03:00,2011-01-01
1034.0,26.19,-1.0,360.0,5.0,1035.58,19.8,-1.65,321.0,1.58,06:00,2011-01-01
1034.0,30.36,-3.0,10.0,2.0,1034.18,34.6,-7.99,332.0,1.59,09:00,2011-01-01
1035.0,37.74,-7.0,340.0,3.0,1036.41,37.8,-7.01,315.0,3.71,12:00,2011-01-01
1037.0,48.01,-9.0,10.0,4.0,1036.51,45.1,-8.91,336.0,3.81,15:00,2011-01-01
1037.0,44.72,-7.0,20.0,5.0,1038.24,46.0,-10.37,340.0,3.1,18:00,2011-01-01
1037.0,41.1,-7.0,20.0,4.0,1037.44,45.5,-11.12,339.0,3.03,21:00,2011-01-01
1037.0,41.1,-7.0,30.0,5.0,1038.1,42.9,-10.6,358.0,3.75,00:00,2011-01-02
1037.0,33.03,-3.0,20.0,4.0,1036.85,24.0,-4.42,2.0,2.49,03:00,2011-01-02
1034.0,30.67,-2.0,40.0,3.0,1035.03,18.6,-0.99,102.0,1.13,06:00,2011-01-02
1034.0,30.67,-2.0,40.0,3.0,1034.35,25.4,-5.1,165.0,2.16,09:00,2011-01-02
1033.0,45.35,-5.0,120.0,1.0,1034.32,26.9,-5.98,193.0,1.71,12:00,2011-01-02
1033.0,48.93,-6.0,120.0,1.0,1033.51,31.0,-7.28,221.0,0.45,15:00,2011-01-02
1033.0,52.83,-7.0,40.0,1.0,1034.49,31.5,-7.57,209.0,0.61,18:00,2011-01-02
1032.0,57.08,-8.0,80.0,1.0,1032.79,33.8,-8.23,326.0,0.14,21:00,2011-01-02
1032.0,61.71,-9.0,10.0,2.0,1032.57,34.8,-8.21,270.0,0.19,00:00,2011-01-03
1032.0,49.53,-4.0,90.0,1.0,1032.08,24.1,-2.92,350.0,1.32,03:00,2011-01-03
1032.0,49.53,-4.0,90.0,1.0,1029.98,20.3,-0.74,175.0,2.09,06:00,2011-01-03
1029.0,39.02,-3.0,0.0,0.0,1029.25,32.3,-6.66,189.0,0.36,09:00,2011-01-03
1029.0,61.97,-8.0,70.0,1.0,1030.0,42.0,-7.47,238.0,1.12,12:00,2011-01-03
1029.0,61.71,-9.0,360.0,2.0,1029.69,47.6,-7.62,327.0,2.47,15:00,2011-01-03
1028.0,66.53,-11.0,350.0,3.0,1029.81,50.5,-8.69,314.0,2.45,18:00,2011-01-03
1028.0,66.53,-11.0,340.0,2.0,1028.23,47.3,-8.64,329.0,2.82,21:00,2011-01-03
1028.0,66.53,-11.0,350.0,2.0,1029.31,52.5,-9.92,325.0,1.12,00:00,2011-01-04
1028.0,67.0,-9.0,20.0,2.0,1028.52,29.9,-2.97,323.0,2.47,03:00,2011-01-04
1025.0,29.42,2.0,280.0,3.0,1026.01,26.4,1.61,266.0,2.26,06:00,2011-01-04
1025.0,26.49,0.0,280.0,7.0,1025.17,37.7,-2.48,305.0,4.84,09:00,2011-01-04
1027.0,30.67,-2.0,330.0,7.0,1028.51,43.4,-4.75,318.0,4.66,12:00,2011-01-04
1029.0,32.72,-4.0,340.0,7.0,1028.85,43.4,-6.75,332.0,5.57,15:00,2011-01-04
1029.0,32.08,-6.0,300.0,10.0,1030.61,42.6,-9.02,326.0,5.08,18:00,2011-01-04
1030.0,31.76,-7.0,320.0,10.0,1030.06,39.8,-10.63,330.0,4.91,21:00,2011-01-04
1031.0,34.31,-8.0,330.0,9.0,1031.8,38.0,-10.3,308.0,4.6,00:00,2011-01-05
1032.0,25.28,-4.0,330.0,9.0,1032.81,23.4,-6.05,324.0,7.58,03:00,2011-01-05
1030.0,23.75,-2.0,300.0,8.0,1031.62,19.1,-2.65,304.0,7.22,06:00,2011-01-05
1032.0,27.88,-3.0,300.0,9.0,1032.37,26.5,-5.61,310.0,5.55,09:00,2011-01-05
1035.0,32.4,-5.0,320.0,9.0,1035.3,34.3,-7.35,314.0,5.74,12:00,2011-01-05
1037.0,32.4,-5.0,330.0,8.0,1036.19,39.5,-8.86,327.0,5.85,15:00,2011-01-05
1037.0,32.08,-6.0,330.0,9.0,1039.06,41.2,-10.25,325.0,4.9,18:00,2011-01-05
1038.0,37.42,-8.0,340.0,5.0,1038.4,41.4,-11.27,332.0,5.26,21:00,2011-01-05
1040.0,40.46,-9.0,350.0,4.0,1040.48,41.7,-10.79,328.0,6.12,00:00,2011-01-06
1040.0,30.04,-4.0,330.0,9.0,1040.35,25.1,-5.74,331.0,5.71,03:00,2011-01-06
1037.0,24.05,-1.0,330.0,9.0,1038.71,19.6,-1.73,312.0,6.46,06:00,2011-01-06
1036.0,26.19,-1.0,310.0,7.0,1036.66,28.4,-5.31,321.0,3.96,09:00,2011-01-06
1037.0,32.72,-4.0,340.0,5.0,1037.4,36.7,-7.05,312.0,5.53,12:00,2011-01-06
1038.0,37.74,-7.0,360.0,4.0,1037.23,43.3,-8.89,328.0,4.15,15:00,2011-01-06
1036.0,37.74,-7.0,10.0,4.0,1037.43,45.1,-10.36,328.0,3.44,18:00,2011-01-06
1035.0,51.64,-11.0,10.0,4.0,1035.14,44.6,-11.13,327.0,3.37,21:00,2011-01-06
1035.0,40.78,-8.0,10.0,3.0,1035.12,44.4,-10.39,341.0,3.17,00:00,2011-01-07
1033.0,30.36,-3.0,360.0,3.0,1032.75,24.9,-4.13,296.0,1.82,03:00,2011-01-07
1032.0,28.19,-2.0,340.0,2.0,1029.43,18.3,0.34,210.0,2.15,06:00,2011-01-07
1026.0,28.5,-1.0,190.0,3.0,1025.87,26.8,-4.19,188.0,2.67,09:00,2011-01-07
1025.0,33.35,-2.0,200.0,3.0,1026.6,28.1,-3.72,205.0,3.11,12:00,2011-01-07
1025.0,38.39,-5.0,150.0,2.0,1024.98,37.8,-7.63,226.0,1.2,15:00,2011-01-07
1024.0,48.93,-6.0,80.0,2.0,1025.89,38.5,-8.26,247.0,1.46,18:00,2011-01-07
1024.0,48.93,-6.0,360.0,3.0,1024.94,34.4,-6.43,309.0,2.68,21:00,2011-01-07
1026.0,42.37,-3.0,340.0,5.0,1027.13,42.1,-5.23,306.0,7.1,00:00,2011-01-08
1028.0,30.67,-2.0,310.0,11.0,1028.46,25.0,-2.67,326.0,8.98,03:00,2011-01-08
1028.0,28.5,-1.0,300.0,10.0,1028.88,19.7,-0.95,301.0,7.43,06:00,2011-01-08
1030.0,28.19,-2.0,320.0,8.0,1030.42,26.0,-3.58,319.0,6.25,09:00,2011-01-08
1033.0,25.58,-3.0,320.0,17.0,1035.19,32.8,-6.03,326.0,8.0,12:00,2011-01-08
1036.0,26.95,-6.0,320.0,12.0,1036.58,36.3,-8.25,326.0,5.74,15:00,2011-01-08
1037.0,26.63,-7.0,330.0,12.0,1039.01,35.6,-9.68,328.0,7.4,18:00,2011-01-08
1038.0,26.32,-8.0,320.0,12.0,1039.09,37.0,-11.38,322.0,4.0,21:00,2011-01-08
1039.0,31.43,-8.0,300.0,6.0,1040.11,36.7,-11.7,321.0,5.6,00:00,2011-01-09
1039.0,21.2,-4.0,320.0,9.0,1039.89,22.4,-6.72,328.0,6.22,03:00,2011-01-09
1036.0,21.49,-3.0,290.0,9.0,1036.92,15.7,-3.21,294.0,6.26,06:00,2011-01-09
1035.0,23.46,-3.0,290.0,7.0,1035.79,21.2,-6.69,301.0,3.24,09:00,2011-01-09
1035.0,24.97,-5.0,330.0,5.0,1036.46,26.2,-7.79,320.0,4.02,12:00,2011-01-09
1035.0,26.95,-6.0,320.0,4.0,1034.4,32.8,-9.5,315.0,3.77,15:00,2011-01-09
1034.0,29.41,-6.0,340.0,6.0,1035.24,37.7,-11.01,323.0,3.11,18:00,2011-01-09
1032.0,31.76,-7.0,340.0,5.0,1034.11,39.6,-11.96,337.0,3.32,21:00,2011-01-09
1032.0,36.77,-10.0,10.0,4.0,1032.82,41.0,-11.14,339.0,3.26,00:00,2011-01-10
1029.0,27.57,-4.0,360.0,5.0,1029.92,22.0,-4.66,300.0,2.75,03:00,2011-01-10
1025.0,15.78,0.0,300.0,7.0,1027.11,14.6,0.11,286.0,3.27,06:00,2011-01-10
1024.0,20.52,0.0,300.0,5.0,1024.69,21.7,-5.86,234.0,2.52,09:00,2011-01-10
1023.0,27.88,-3.0,230.0,5.0,1024.53,22.6,-6.54,219.0,3.85,12:00,2011-01-10
1022.0,27.88,-3.0,240.0,4.0,1023.16,22.6,-7.18,281.0,3.4,15:00,2011-01-10
1021.0,32.4,-5.0,350.0,2.0,1023.37,31.5,-7.66,308.0,3.6,18:00,2011-01-10
1021.0,30.04,-4.0,300.0,8.0,1023.04,40.7,-9.35,319.0,4.69,21:00,2011-01-10
1023.0,32.08,-6.0,310.0,6.0,1024.66,42.3,-9.32,308.0,5.91,00:00,2011-01-11
1025.0,25.58,-3.0,300.0,8.0,1026.75,24.3,-4.56,323.0,5.94,03:00,2011-01-11
1023.0,22.07,-1.0,290.0,7.0,1024.46,17.5,-1.41,291.0,6.16,06:00,2011-01-11
1023.0,19.95,-2.0,340.0,6.0,1023.96,23.2,-5.32,293.0,3.2,09:00,2011-01-11
1025.0,21.2,-4.0,340.0,4.0,1025.56,25.4,-6.45,338.0,4.75,12:00,2011-01-11
1025.0,26.63,-7.0,360.0,3.0,1025.04,30.9,-8.62,327.0,3.78,15:00,2011-01-11
1025.0,33.98,-9.0,300.0,2.0,1026.96,34.9,-10.21,320.0,3.57,18:00,2011-01-11
1025.0,37.09,-9.0,300.0,2.0,1025.87,38.5,-11.32,337.0,2.84,21:00,2011-01-11
1026.0,55.66,-13.0,100.0,1.0,1027.33,44.8,-11.6,258.0,1.25,00:00,2011-01-12
1026.0,27.57,-4.0,320.0,2.0,1025.71,24.3,-4.71,232.0,0.73,03:00,2011-01-12
1023.0,18.81,0.0,180.0,2.0,1023.35,16.1,0.17,170.0,3.05,06:00,2011-01-12
1022.0,25.58,-3.0,170.0,2.0,1022.41,22.0,-5.29,162.0,2.79,09:00,2011-01-12
1022.0,35.28,-5.0,130.0,1.0,1023.38,27.3,-7.27,192.0,2.6,12:00,2011-01-12
1023.0,40.78,-8.0,130.0,1.0,1022.34,32.5,-8.73,182.0,2.01,15:00,2011-01-12
1022.0,47.39,-11.0,360.0,2.0,1022.99,37.6,-10.71,92.0,0.24,18:00,2011-01-12
1021.0,56.23,-11.0,340.0,1.0,1021.88,38.7,-10.8,352.0,1.62,21:00,2011-01-12
1022.0,48.01,-9.0,340.0,4.0,1023.64,42.6,-10.73,329.0,1.42,00:00,2011-01-13
1023.0,38.07,-6.0,340.0,3.0,1023.24,28.5,-2.99,313.0,3.19,03:00,2011-01-13
1020.0,15.17,3.0,310.0,10.0,1021.39,20.0,2.66,281.0,3.51,06:00,2011-01-13
1021.0,17.77,2.0,260.0,5.0,1021.83,28.2,-3.17,319.0,3.02,09:00,2011-01-13
1024.0,30.36,-3.0,360.0,2.0,1025.05,69.8,-5.95,230.0,1.36,12:00,2011-01-13
1026.0,28.19,-2.0,340.0,3.0,1026.49,36.8,-5.38,333.0,4.7,15:00,2011-01-13
1028.0,33.03,-3.0,340.0,9.0,1029.93,45.4,-7.01,339.0,4.61,18:00,2011-01-13
1031.0,34.96,-6.0,340.0,7.0,1031.55,45.4,-8.91,346.0,5.07,21:00,2011-01-13
1034.0,34.63,-7.0,350.0,7.0,1035.22,42.2,-9.52,336.0,6.27,00:00,2011-01-14
1035.0,25.58,-3.0,310.0,8.0,1034.98,22.9,-4.38,342.0,5.08,03:00,2011-01-14
1032.0,23.75,-2.0,320.0,4.0,1034.12,16.1,-1.05,301.0,5.11,06:00,2011-01-14
1033.0,16.71,-2.0,340.0,7.0,1034.43,19.0,-4.07,321.0,6.38,09:00,2011-01-14
1038.0,22.26,-7.0,350.0,11.0,1039.87,25.3,-7.78,334.0,5.85,12:00,2011-01-14
1040.0,23.75,-9.0,10.0,7.0,1040.21,28.3,-10.44,334.0,4.72,15:00,2011-01-14
1041.0,23.44,-10.0,340.0,13.0,1042.57,29.3,-12.56,346.0,3.53,18:00,2011-01-14
1040.0,25.38,-11.0,330.0,8.0,1041.55,31.5,-14.05,338.0,2.72,21:00,2011-01-14
1042.0,23.44,-10.0,330.0,8.0,1043.03,32.2,-13.38,321.0,4.87,00:00,2011-01-15
1041.0,20.33,-7.0,320.0,8.0,1041.82,19.6,-8.18,326.0,4.17,03:00,2011-01-15
1038.0,17.72,-4.0,300.0,10.0,1040.02,14.3,-4.21,293.0,6.72,06:00,2011-01-15
1037.0,21.2,-4.0,290.0,7.0,1038.05,20.7,-7.86,303.0,2.52,09:00,2011-01-15
1038.0,28.78,-8.0,10.0,3.0,1039.04,24.8,-9.0,344.0,3.99,12:00,2011-01-15
1038.0,28.14,-10.0,10.0,3.0,1037.93,30.2,-10.92,347.0,3.28,15:00,2011-01-15
