Airport,Leaf Size,Classic,Proposed,Lund
eddt, 50, 3.844653042437735, 3.822736176221112, 3.9938851570467913
eddt, 100, 3.8686267661151192, 3.8547166081812043, 3.989427041515994
eddt, 250, 4.0129429255752855, 3.9814418086461862, 4.055565891902182
eddt, 500, 4.211467039658438, 4.171170719258264, 4.155570015004234
egll, 50, 3.0949028142297133, 3.0531076257198952, 3.26029118131234
egll, 100, 3.14671726633227, 3.0836763313083146, 3.2274434381082755
egll, 250, 3.257100235556282, 3.2412677749255456, 3.2498358656326234
egll, 500, 3.410897085481352, 3.395030396789303, 3.3274925166460014
yssy, 50, 2.634168966510062, 2.6136927136323904, 2.743588637999301
yssy, 100, 2.625393601825911, 2.6014822174689494, 2.6990535650855083
yssy, 250, 2.6698924443430605, 2.6804708316995978, 2.726951294090798
yssy, 500, 2.84258870447596, 2.7724436261932768, 2.802843226186075
zbaa, 50, 3.4928336602975762, 3.3540119215887243, 3.843092882801533
zbaa, 100, 3.5402284386218907, 3.3742361097049858, 3.8510742772670965
zbaa, 250, 3.8417553863497664, 3.5245299541089175, 3.8640875315355374
zbaa, 500, 4.174023462249021, 3.8281961653629883, 3.9093017642824512
lebl, 50, 2.234421529399253, 2.202155115777246, 2.561322327657888
lebl, 100, 2.264346908761769, 2.2324628602980825, 2.525564294172932
lebl, 250, 2.345784200212722, 2.3164948182967144, 2.521093309004808
lebl, 500, 2.529740271341273, 2.466900987667045, 2.5892455882512193
lfpg, 50, 3.586508109634463, 3.545265003196833, 3.842942110363417
lfpg, 100, 3.5953049401481607, 3.567164892385456, 3.794444919843582
lfpg, 250, 3.6991554501466277, 3.691096496322479, 3.7663997120134995
lfpg, 500, 3.849550977497472, 3.8913080860952194, 3.8810228568332876
limc, 50, 3.753117686924032, 3.7650667746061224, 3.864787376253419
limc, 100, 3.778738365226461, 3.749642504138463, 3.819457033516283
limc, 250, 3.8985341639937006, 3.8827195632751432, 3.8485345735551832
limc, 500, 4.116791397883721, 4.025157511606666, 3.9558559938670066
